,ags5,time_stamp,value
0,01001,2007-01-31,5503
1,01001,2007-02-28,5531
2,01001,2007-03-31,5521
3,01001,2007-04-30,5650
4,01001,2007-05-31,5559
5,01001,2007-06-30,5323
6,01001,2007-07-31,5454
7,01001,2007-08-31,5377
8,01001,2007-09-30,5132
9,01001,2007-10-31,4911
10,01001,2007-11-30,4739
11,01001,2007-12-31,4697
12,01001,2008-01-31,5057
13,01001,2008-02-29,5045
14,01001,2008-03-31,4983
15,01001,2008-04-30,4986
16,01001,2008-05-31,4882
17,01001,2008-06-30,4710
18,01001,2008-07-31,4880
19,01001,2008-08-31,5085
20,01001,2008-09-30,4897
21,01001,2008-10-31,4784
22,01001,2008-11-30,4854
23,01001,2008-12-31,4963
24,01001,2009-01-31,5397
25,01001,2009-02-28,5616
26,01001,2009-03-31,5648
27,01001,2009-04-30,5761
28,01001,2009-05-31,5511
29,01001,2009-06-30,5384
30,01001,2009-07-31,5636
31,01001,2009-08-31,5723
32,01001,2009-09-30,5441
33,01001,2009-10-31,5358
34,01001,2009-11-30,5426
35,01001,2009-12-31,5473
36,01001,2010-01-31,5874
37,01001,2010-02-28,6043
38,01001,2010-03-31,5816
39,01001,2010-04-30,5624
40,01001,2010-05-31,5431
41,01001,2010-06-30,5249
42,01001,2010-07-31,5421
43,01001,2010-08-31,5541
44,01001,2010-09-30,5187
45,01001,2010-10-31,5157
46,01001,2010-11-30,5200
47,01001,2010-12-31,5353
48,01001,2011-01-31,5709
49,01001,2011-02-28,5544
50,01001,2011-03-31,5390
51,01001,2011-04-30,5243
52,01001,2011-05-31,5176
53,01001,2011-06-30,5067
54,01001,2011-07-31,5097
55,01001,2011-08-31,5081
56,01001,2011-09-30,4899
57,01001,2011-10-31,4877
58,01001,2011-11-30,4806
59,01001,2011-12-31,4926
60,01001,2012-01-31,5219
61,01001,2012-02-29,5244
62,01001,2012-03-31,5207
63,01001,2012-04-30,5251
64,01001,2012-05-31,5058
65,01001,2012-06-30,5124
66,01001,2012-07-31,5303
67,01001,2012-08-31,5176
68,01001,2012-09-30,5020
69,01001,2012-10-31,4965
70,01001,2012-11-30,4973
71,01001,2012-12-31,4990
72,01001,2013-01-31,5445
73,01001,2013-02-28,5426
74,01001,2013-03-31,5452
75,01001,2013-04-30,5395
76,01001,2013-05-31,5292
77,01001,2013-06-30,5208
78,01001,2013-07-31,5294
79,01001,2013-08-31,5118
80,01001,2013-09-30,5005
81,01001,2013-10-31,4936
82,01001,2013-11-30,4924
83,01001,2013-12-31,4963
84,01001,2014-01-31,5268
85,01001,2014-02-28,5259
86,01001,2014-03-31,5146
87,01001,2014-04-30,5035
88,01001,2014-05-31,5102
89,01001,2014-06-30,4976
90,01001,2014-07-31,5166
91,01001,2014-08-31,5207
92,01001,2014-09-30,5019
93,01001,2014-10-31,5034
94,01001,2014-11-30,4914
95,01001,2014-12-31,4919
96,01001,2015-01-31,5299
97,01001,2015-02-28,5164
98,01001,2015-03-31,5096
99,01001,2015-04-30,5050
100,01001,2015-05-31,4929
101,01001,2015-06-30,4822
102,01001,2015-07-31,4972
103,01001,2015-08-31,4943
104,01001,2015-09-30,4719
105,01001,2015-10-31,4545
106,01001,2015-11-30,4419
107,01001,2015-12-31,4477
108,01001,2016-01-31,4711
109,01001,2016-02-29,4733
110,01001,2016-03-31,4697
111,01001,2016-04-30,4530
112,01001,2016-05-31,4471
113,01001,2016-06-30,4319
114,01001,2016-07-31,4416
115,01001,2016-08-31,4503
116,01001,2016-09-30,4450
117,01001,2016-10-31,4346
118,01001,2016-11-30,4332
119,01001,2016-12-31,4427
120,01001,2017-01-31,4649
121,01001,2017-02-28,4650
122,01001,2017-03-31,4510
123,01001,2017-04-30,4533
124,01001,2017-05-31,4502
125,01001,2017-06-30,4487
126,01001,2017-07-31,4608
127,01001,2017-08-31,4706
128,01001,2017-09-30,4409
129,01001,2017-10-31,4353
130,01001,2017-11-30,4393
131,01001,2017-12-31,4348
132,01001,2018-01-31,4697
133,01001,2018-02-28,4637
134,01001,2018-03-31,4608
135,01001,2018-04-30,4459
136,01001,2018-05-31,4346
137,01001,2018-06-30,4321
138,01001,2018-07-31,4315
139,01001,2018-08-31,4353
140,01001,2018-09-30,4081
141,01001,2018-10-31,4052
142,01001,2018-11-30,3952
143,01001,2018-12-31,3828
144,01001,2019-01-31,4275
145,01001,2019-02-28,4065
146,01001,2019-03-31,4109
147,01001,2019-04-30,4005
148,01001,2019-05-31,4048
149,01001,2019-06-30,4033
150,01001,2019-07-31,4276
151,01001,2019-08-31,4382
152,01001,2019-09-30,4359
153,01001,2019-10-31,4228
154,01001,2019-11-30,4174
155,01001,2019-12-31,4136
156,01001,2020-01-31,4421
157,01001,2020-02-29,4393
158,01001,2020-03-31,4286
159,01001,2020-04-30,4897
160,01001,2020-05-31,5132
161,01001,2020-06-30,5075
162,01001,2020-07-31,5198
163,01001,2020-08-31,4958
164,01001,2020-09-30,4721
165,01001,2020-10-31,4522
166,01001,2020-11-30,4514
167,01001,2020-12-31,4544
168,01001,2021-01-31,4852
169,01001,2021-02-28,4790
170,01001,2021-03-31,4709
171,01001,2021-04-30,4740
172,01001,2021-05-31,4602
173,01002,2007-01-31,15441
174,01002,2007-02-28,15528
175,01002,2007-03-31,15780
176,01002,2007-04-30,15709
177,01002,2007-05-31,15338
178,01002,2007-06-30,14969
179,01002,2007-07-31,15386
180,01002,2007-08-31,15800
181,01002,2007-09-30,14891
182,01002,2007-10-31,14480
183,01002,2007-11-30,14081
184,01002,2007-12-31,14100
185,01002,2008-01-31,14643
186,01002,2008-02-29,14870
187,01002,2008-03-31,14738
188,01002,2008-04-30,14543
189,01002,2008-05-31,14213
190,01002,2008-06-30,13644
191,01002,2008-07-31,13871
192,01002,2008-08-31,14070
193,01002,2008-09-30,13532
194,01002,2008-10-31,13165
195,01002,2008-11-30,12909
196,01002,2008-12-31,12613
197,01002,2009-01-31,13475
198,01002,2009-02-28,13597
199,01002,2009-03-31,13661
200,01002,2009-04-30,13912
201,01002,2009-05-31,13320
