,ags5,time_stamp,value
0,01001,2006-01-31,36706
1,01001,2006-02-28,36656
2,01001,2006-03-31,36944
3,01001,2006-04-30,37177
4,01001,2006-05-31,37346
5,01001,2006-06-30,37374
6,01001,2006-07-31,37240
7,01001,2006-08-31,37787
8,01001,2006-09-30,38214
9,01001,2006-10-31,38589
10,01001,2006-11-30,38822
11,01001,2006-12-31,38634
12,01001,2007-01-31,38326
13,01001,2007-02-28,38278
14,01001,2007-03-31,38268
15,01001,2007-04-30,38258
16,01001,2007-05-31,38319
17,01001,2007-06-30,38266
18,01001,2007-07-31,38237
19,01001,2007-08-31,38833
20,01001,2007-09-30,38840
21,01001,2007-10-31,38688
22,01001,2007-11-30,38748
23,01001,2007-12-31,38510
24,01001,2008-01-31,38051
25,01001,2008-02-29,38026
26,01001,2008-03-31,38074
27,01001,2008-04-30,38086
28,01001,2008-05-31,38144
29,01001,2008-06-30,38140
30,01001,2008-07-31,37985
31,01001,2008-08-31,38427
32,01001,2008-09-30,38570
33,01001,2008-10-31,38434
34,01001,2008-11-30,38349
35,01001,2008-12-31,38071
36,01001,2009-01-31,37505
37,01001,2009-02-28,37259
38,01001,2009-03-31,37580
39,01001,2009-04-30,37495
40,01001,2009-05-31,37531
41,01001,2009-06-30,37381
42,01001,2009-07-31,37126
43,01001,2009-08-31,37587
44,01001,2009-09-30,37920
45,01001,2009-10-31,38075
46,01001,2009-11-30,38095
47,01001,2009-12-31,37875
48,01001,2010-01-31,37563
49,01001,2010-02-28,37553
50,01001,2010-03-31,37707
51,01001,2010-04-30,37873
52,01001,2010-05-31,37947
53,01001,2010-06-30,37853
54,01001,2010-07-31,37673
55,01001,2010-08-31,38269
56,01001,2010-09-30,38622
57,01001,2010-10-31,38655
58,01001,2010-11-30,38666
59,01001,2010-12-31,38418
60,01001,2011-01-31,38033
61,01001,2011-02-28,37767
62,01001,2011-03-31,37843
63,01001,2011-04-30,37924
64,01001,2011-05-31,38040
65,01001,2011-06-30,38053
66,01001,2011-07-31,37832
67,01001,2011-08-31,38553
68,01001,2011-09-30,38732
69,01001,2011-10-31,38652
70,01001,2011-11-30,38815
71,01001,2011-12-31,38490
72,01001,2012-01-31,38241
73,01001,2012-02-29,38171
74,01001,2012-03-31,38226
75,01001,2012-04-30,38338
76,01001,2012-05-31,38351
77,01001,2012-06-30,38169
78,01001,2012-07-31,38063
79,01001,2012-08-31,38688
80,01001,2012-09-30,38925
81,01001,2012-10-31,39280
82,01001,2012-11-30,39478
83,01001,2012-12-31,39258
84,01001,2013-01-31,38972
85,01001,2013-02-28,38900
86,01001,2013-03-31,38902
87,01001,2013-04-30,39045
88,01001,2013-05-31,39063
89,01001,2013-06-30,39028
90,01001,2013-07-31,39114
91,01001,2013-08-31,39730
92,01001,2013-09-30,40086
93,01001,2013-10-31,39961
94,01001,2013-11-30,40029
95,01001,2013-12-31,39810
96,01001,2014-01-31,39324
97,01001,2014-02-28,39318
98,01001,2014-03-31,39383
99,01001,2014-04-30,39216
100,01001,2014-05-31,39467
101,01001,2014-06-30,39462
102,01001,2014-07-31,39381
