,ags5,time_stamp,value
0,01001,2006-01-31,23459
1,01001,2006-02-28,23375
2,01001,2006-03-31,23586
3,01001,2006-04-30,23671
4,01001,2006-05-31,23846
5,01001,2006-06-30,23938
6,01001,2006-07-31,23915
7,01001,2006-08-31,24241
8,01001,2006-09-30,24465
9,01001,2006-10-31,24653
10,01001,2006-11-30,24891
11,01001,2006-12-31,24688
12,01001,2007-01-31,24431
13,01001,2007-02-28,24361
14,01001,2007-03-31,24352
15,01001,2007-04-30,24405
16,01001,2007-05-31,24519
17,01001,2007-06-30,24560
18,01001,2007-07-31,24561
19,01001,2007-08-31,24936
20,01001,2007-09-30,25072
21,01001,2007-10-31,25195
22,01001,2007-11-30,25251
23,01001,2007-12-31,25032
24,01001,2008-01-31,24779
25,01001,2008-02-29,24809
26,01001,2008-03-31,24865
27,01001,2008-04-30,24935
28,01001,2008-05-31,24986
29,01001,2008-06-30,25081
30,01001,2008-07-31,25043
31,01001,2008-08-31,25237
32,01001,2008-09-30,25450
33,01001,2008-10-31,25479
34,01001,2008-11-30,25483
35,01001,2008-12-31,25255
36,01001,2009-01-31,24775
37,01001,2009-02-28,24704
38,01001,2009-03-31,24696
39,01001,2009-04-30,24757
40,01001,2009-05-31,24859
41,01001,2009-06-30,24852
42,01001,2009-07-31,24695
43,01001,2009-08-31,25048
44,01001,2009-09-30,25241
45,01001,2009-10-31,25162
46,01001,2009-11-30,25257
47,01001,2009-12-31,25046
48,01001,2010-01-31,24746
49,01001,2010-02-28,24702
50,01001,2010-03-31,24903
51,01001,2010-04-30,25125
52,01001,2010-05-31,25228
53,01001,2010-06-30,25298
54,01001,2010-07-31,25204
55,01001,2010-08-31,25630
56,01001,2010-09-30,25798
57,01001,2010-10-31,25783
58,01001,2010-11-30,25782
59,01001,2010-12-31,25598
60,01001,2011-01-31,25314
61,01001,2011-02-28,25451
62,01001,2011-03-31,25554
63,01001,2011-04-30,25686
64,01001,2011-05-31,25910
65,01001,2011-06-30,25992
66,01001,2011-07-31,25929
67,01001,2011-08-31,26408
68,01001,2011-09-30,26616
69,01001,2011-10-31,26572
70,01001,2011-11-30,26620
71,01001,2011-12-31,26345
72,01001,2012-01-31,26146
73,01001,2012-02-29,26120
74,01001,2012-03-31,26241
