,kreis,ags5,cluster
0,"Flensburg, Stadt",1001,1
1,"Kiel, Landeshauptstadt",1002,0
2,"Lübeck, Hansestadt",1003,0
3,"Neumünster, Stadt",1004,1
4,Dithmarschen,1051,1
5,Herzogtum Lauenburg,1053,3
6,Nordfriesland,1054,1
7,Ostholstein,1055,3
8,Pinneberg,1056,3
9,Plön,1057,1
10,Rendsburg-Eckernförde,1058,2
11,Schleswig-Flensburg,1059,2
12,Segeberg,1060,3
13,Steinburg,1061,3
14,Stormarn,1062,0
15,Hamburg,2000,0
16,Braunschweig,3101,0
17,Salzgitter,3102,3
18,Wolfsburg,3103,3
19,Gifhorn,3151,3
20,Goslar,3153,1
21,Helmstedt,3154,1
22,Northeim,3155,1
23,Peine,3157,3
24,Wolfenbüttel,3158,2
25,Göttingen,3159,3
26,Hannover,3241,0
27,Diepholz,3251,2
28,Hameln-Pyrmont,3252,1
29,Hildesheim,3254,3
30,Holzminden,3255,1
31,Nienburg/Weser,3256,1
32,Schaumburg,3257,3
33,Celle,3351,1
34,Cuxhaven,3352,1
35,Harburg,3353,3
36,Lüchow-Dannenberg,3354,1
37,Lüneburg,3355,3
38,Osterholz,3356,3
39,Rotenburg (Wümme),3357,2
40,Heidekreis,3358,1
41,Stade,3359,2
42,Uelzen,3360,1
43,Verden,3361,3
44,Delmenhorst,3401,1
45,Emden,3402,1
46,"Oldenburg, Stadt",3403,0
47,"Osnabrück, Stadt",3404,0
48,Wilhelmshaven,3405,1
49,Ammerland,3451,3
50,Aurich,3452,1
51,Cloppenburg,3453,2
52,Emsland,3454,1
53,Friesland,3455,3
54,Grafschaft Bentheim,3456,2
55,Leer,3457,1
56,"Oldenburg, Kreis",3458,3
57,"Osnabrück, Kreis",3459,3
58,Vechta,3460,2
59,Wesermarsch,3461,1
60,Wittmund,3462,1
61,Bremen,4011,0
62,Bremerhaven,4012,0
63,Düsseldorf,5111,0
64,Duisburg,5112,0
65,Essen,5113,0
66,Krefeld,5114,0
67,Mönchengladbach,5116,0
68,Mülheim an der Ruhr,5117,0
69,Oberhausen,5119,0
70,Remscheid,5120,0
71,Solingen,5122,0
72,Wuppertal,5124,0
73,Kleve,5154,0
74,Mettmann,5158,0
75,Rhein-Kreis Neuss,5162,0
76,Viersen,5166,0
77,Wesel,5170,3
78,Bonn,5314,0
79,Köln,5315,0
80,Leverkusen,5316,0
81,Aachen,5334,0
82,Düren,5358,0
83,Rhein-Erft-Kreis,5362,0
84,Euskirchen,5366,0
85,Heinsberg,5370,3
86,Oberbergischer Kreis,5374,3
87,Rheinisch-Bergischer Kreis,5378,0
88,Rhein-Sieg-Kreis,5382,0
89,Bottrop,5512,0
90,Gelsenkirchen,5513,0
91,Münster,5515,0
92,Borken,5554,0
93,Coesfeld,5558,0
94,Recklinghausen,5562,0
95,Steinfurt,5566,3
96,Warendorf,5570,0
97,Bielefeld,5711,3
98,Gütersloh,5754,0
99,Herford,5758,3
100,Höxter,5762,1
101,Lippe,5766,3
102,Minden-Lübbecke,5770,3
103,Paderborn,5774,3
104,Bochum,5911,0
105,Dortmund,5913,0
106,Hagen,5914,0
107,Hamm,5915,0
108,Herne,5916,0
109,Ennepe-Ruhr-Kreis,5954,0
110,Hochsauerlandkreis,5958,3
111,Märkischer Kreis,5962,0
112,Olpe,5966,3
