,kreis,ags5,cluster
0,"Flensburg, Stadt",1001,1
1,"Kiel, Landeshauptstadt",1002,2
2,"Lübeck, Hansestadt",1003,2
3,"Neumünster, Stadt",1004,0
4,Dithmarschen,1051,1
5,Herzogtum Lauenburg,1053,0
6,Nordfriesland,1054,1
7,Ostholstein,1055,0
8,Pinneberg,1056,2
9,Plön,1057,1
10,Rendsburg-Eckernförde,1058,0
11,Schleswig-Flensburg,1059,0
12,Segeberg,1060,0
13,Steinburg,1061,1
14,Stormarn,1062,2
15,Hamburg,2000,2
16,Braunschweig,3101,2
17,Salzgitter,3102,2
18,Wolfsburg,3103,2
19,Gifhorn,3151,1
20,Goslar,3153,1
21,Helmstedt,3154,1
22,Northeim,3155,1
23,Peine,3157,2
24,Wolfenbüttel,3158,0
25,Göttingen,3159,2
26,Hannover,3241,2
27,Diepholz,3251,2
28,Hameln-Pyrmont,3252,0
29,Hildesheim,3254,2
30,Holzminden,3255,1
31,Nienburg/Weser,3256,0
32,Schaumburg,3257,2
33,Celle,3351,0
34,Cuxhaven,3352,0
35,Harburg,3353,2
36,Lüchow-Dannenberg,3354,1
37,Lüneburg,3355,1
38,Osterholz,3356,2
39,Rotenburg (Wümme),3357,0
40,Heidekreis,3358,1
41,Stade,3359,0
42,Uelzen,3360,1
43,Verden,3361,0
44,Delmenhorst,3401,0
45,Emden,3402,0
46,"Oldenburg, Stadt",3403,2
47,"Osnabrück, Stadt",3404,2
48,Wilhelmshaven,3405,0
49,Ammerland,3451,2
50,Aurich,3452,0
51,Cloppenburg,3453,0
52,Emsland,3454,0
53,Friesland,3455,2
54,Grafschaft Bentheim,3456,0
55,Leer,3457,0
56,"Oldenburg, Kreis",3458,2
57,"Osnabrück, Kreis",3459,2
58,Vechta,3460,0
59,Wesermarsch,3461,1
60,Wittmund,3462,1
61,Bremen,4011,2
62,Bremerhaven,4012,2
63,Düsseldorf,5111,2
64,Duisburg,5112,2
65,Essen,5113,2
66,Krefeld,5114,2
67,Mönchengladbach,5116,2
68,Mülheim an der Ruhr,5117,2
69,Oberhausen,5119,2
70,Remscheid,5120,2
71,Solingen,5122,2
72,Wuppertal,5124,2
73,Kleve,5154,2
74,Mettmann,5158,2
75,Rhein-Kreis Neuss,5162,2
76,Viersen,5166,2
77,Wesel,5170,2
78,Bonn,5314,2
79,Köln,5315,2
80,Leverkusen,5316,2
81,Aachen,5334,2
82,Düren,5358,2
83,Rhein-Erft-Kreis,5362,2
84,Euskirchen,5366,2
85,Heinsberg,5370,2
86,Oberbergischer Kreis,5374,2
87,Rheinisch-Bergischer Kreis,5378,2
88,Rhein-Sieg-Kreis,5382,2
89,Bottrop,5512,2
90,Gelsenkirchen,5513,2
91,Münster,5515,2
92,Borken,5554,2
93,Coesfeld,5558,2
94,Recklinghausen,5562,2
95,Steinfurt,5566,2
96,Warendorf,5570,0
97,Bielefeld,5711,2
98,Gütersloh,5754,2
99,Herford,5758,2
100,Höxter,5762,0
101,Lippe,5766,2
102,Minden-Lübbecke,5770,2
103,Paderborn,5774,2
104,Bochum,5911,2
105,Dortmund,5913,2
106,Hagen,5914,2
107,Hamm,5915,2
108,Herne,5916,2
109,Ennepe-Ruhr-Kreis,5954,2
110,Hochsauerlandkreis,5958,0
111,Märkischer Kreis,5962,2
112,Olpe,5966,0
113,Siegen-Wittgenstein,5970,2
114,Soest,5974,2
115,Unna,5978,2
116,Kreisfreie Stadt Darmstadt,6411,2
117,Kreisfreie Stadt Frankfurt am Main,6412,2
118,Kreisfreie Stadt Offenbach am Main,6413,2
119,Landeshauptstadt Wiesbaden,6414,2
120,Bergstraße,6431,2
121,Darmstadt-Dieburg,6432,2
122,Groß-Gerau,6433,2
123,Hochtaunus,6434,2
124,Main-Kinzig,6435,2
125,Main-Taunus,6436,2
126,Odenwaldkreis,6437,2
127,Offenbach,6438,2
128,Rheingau-Taunus,6439,2
129,Wetterau,6440,2
130,Gießen,6531,2
131,Lahn-Dill,6532,2
132,Limburg-Weilburg,6533,2
133,Marburg-Biedenkopf,6534,0
134,Vogelsberg,6535,1
135,Kreisfreie Stadt Kassel,6611,2
136,Fulda,6631,0
137,Hersfeld-Rotenburg,6632,0
138,Kassel,6633,2
139,Schwalm-Eder,6634,0
140,Waldeck-Frankenberg,6635,1
141,Werra-Meißner,6636,1
142,Stadt Koblenz,7111,0
143,Ahrweiler,7131,0
144,Altenkirchen (Ww),7132,2
145,Bad Kreuznach,7133,0
146,Birkenfeld,7134,1
147,Cochem-Zell,7135,1
148,Mayen-Koblenz,7137,2
149,Neuwied,7138,2
150,Rhein-Hunsrück-Kreis,7140,0
151,Rhein-Lahn-Kreis,7141,2
152,Westerwaldkreis,7143,2
153,Stadt Trier,7211,2
154,Bernkastel-Wittlich,7231,0
155,Eifelkreis Bitburg-Prüm,7232,0
156,Vulkaneifel,7233,1
157,Trier-Saarburg,7235,0
158,Stadt Frankenthal (Pfalz),7311,2
159,Stadt Kaiserslautern,7312,2
160,Stadt Landau in der Pfalz,7313,2
161,Stadt Ludwigshafen a. Rh.,7314,2
162,Stadt Mainz,7315,2
163,Stadt Neustadt a.d. W.,7316,2
164,Stadt Pirmasens,7317,2
165,Stadt Speyer,7318,2
166,Stadt Worms,7319,2
167,Stadt Zweibrücken,7320,2
168,Alzey-Worms,7331,2
169,Bad Dürkheim,7332,2
170,Donnersbergkreis,7333,0
171,Germersheim,7334,2
172,Kaiserslautern,7335,2
173,Kusel,7336,0
174,Südliche Weinstraße,7337,2
175,Rhein-Pfalz-Kreis,7338,2
176,Mainz-Bingen,7339,2
177,Südwestpfalz,7340,0
178,Stuttgart,8111,2
179,Böblingen,8115,2
180,Esslingen,8116,2
181,Göppingen,8117,2
182,Ludwigsburg,8118,2
183,Rems-Murr-Kreis,8119,2
184,"Heilbronn, Stadt",8121,2
185,"Heilbronn, Kreis",8125,2
186,Hohenlohekreis,8126,0
187,Schwäbisch Hall,8127,0
188,Main-Tauber-Kreis,8128,0
189,Heidenheim,8135,2
190,Ostalbkreis,8136,2
191,Baden-Baden,8211,2
192,"Karlsruhe, Stadt",8212,2
193,"Karlsruhe, Kreis",8215,2
194,Rastatt,8216,2
195,Heidelberg,8221,2
196,Mannheim,8222,2
197,Neckar-Odenwald-Kreis,8225,0
198,Rhein-Neckar-Kreis,8226,2
199,Pforzheim,8231,2
200,Calw,8235,2
201,Enzkreis,8236,2
202,Freudenstadt,8237,0
203,Freiburg im Breisgau,8311,2
204,Breisgau-Hochschwarzwald,8315,2
205,Emmendingen,8316,2
206,Ortenaukreis,8317,2
207,Rottweil,8325,2
208,Schwarzwald-Baar-Kreis,8326,2
209,Tuttlingen,8327,2
210,Konstanz,8335,2
211,Lörrach,8336,2
212,Waldshut,8337,0
213,Reutlingen,8415,2
214,Tübingen,8416,2
215,Zollernalbkreis,8417,2
216,Ulm,8421,2
217,Alb-Donau-Kreis,8425,0
218,Biberach,8426,0
219,Bodenseekreis,8435,2
220,Ravensburg,8436,2
221,Sigmaringen,8437,0
222,Ingolstadt,9161,0
223,"München, Landeshauptstadt",9162,2
224,"Rosenheim, Stadt",9163,2
225,Altötting,9171,0
226,Berchtesgadener Land,9172,0
227,Bad Tölz-Wolfratshausen,9173,0
228,Dachau,9174,2
229,Ebersberg,9175,2
230,Eichstätt,9176,0
231,Erding,9177,0
232,Freising,9178,2
233,Fürstenfeldbruck,9179,2
234,Garmisch-Partenkirchen,9180,0
235,Landsberg am Lech,9181,0
236,Miesbach,9182,0
237,Mühldorf a.Inn,9183,0
238,"München, Kreis",9184,2
239,Neuburg-Schrobenhausen,9185,0
240,Pfaffenhofen a.d.Ilm,9186,0
241,"Rosenheim, Kreis",9187,0
242,Starnberg,9188,2
243,Traunstein,9189,0
244,Weilheim-Schongau,9190,0
245,"Landshut, Stadt",9261,0
246,"Passau, Stadt",9262,0
247,Straubing,9263,0
248,Deggendorf,9271,0
249,Freyung-Grafenau,9272,1
250,Kelheim,9273,0
251,"Landshut, Kreis",9274,0
252,"Passau, Kreis",9275,0
253,Regen,9276,0
254,Rottal-Inn,9277,0
255,Straubing-Bogen,9278,0
256,Dingolfing-Landau,9279,0
257,Amberg,9361,1
258,"Regensburg, Stadt",9362,2
259,Weiden i.d.OPf.,9363,1
260,Amberg-Sulzbach,9371,1
261,Cham,9372,1
262,Neumarkt i.d.OPf.,9373,0
263,Neustadt a.d.Waldnaab,9374,1
264,"Regensburg, Kreis",9375,0
265,Schwandorf,9376,0
266,Tirschenreuth,9377,1
267,"Bamberg, Stadt",9461,0
268,"Bayreuth, Stadt",9462,0
269,"Coburg, Stadt",9463,0
270,"Hof, Stadt",9464,0
271,"Bamberg, Kreis",9471,0
272,"Bayreuth, Kreis",9472,0
273,"Coburg, Kreis",9473,0
274,Forchheim,9474,0
275,"Hof, Kreis",9475,0
276,Kronach,9476,0
277,Kulmbach,9477,1
278,Lichtenfels,9478,0
279,Wunsiedel i.Fichtelgebirge,9479,1
280,"Ansbach, Stadt",9561,0
281,Erlangen,9562,2
282,"Fürth, Stadt",9563,2
283,Nürnberg,9564,2
284,Schwabach,9565,2
285,"Ansbach, Kreis",9571,0
286,Erlangen-Höchstadt,9572,2
287,"Fürth, Kreis",9573,2
288,Nürnberger Land,9574,2
289,Neustadt a.d.Aisch-Bad Windsheim,9575,1
290,Roth,9576,0
291,Weißenburg-Gunzenhausen,9577,0
292,"Aschaffenburg, Stadt",9661,2
293,"Schweinfurt, Stadt",9662,0
294,"Würzburg, Stadt",9663,2
295,"Aschaffenburg, Kreis",9671,2
296,Bad Kissingen,9672,1
297,Rhön-Grabfeld,9673,0
298,Haßberge,9674,1
299,Kitzingen,9675,0
300,Miltenberg,9676,0
301,Main-Spessart,9677,0
302,"Schweinfurt, Kreis",9678,0
303,"Würzburg, Kreis",9679,2
304,"Augsburg, Stadt",9761,2
305,Kaufbeuren,9762,1
306,Kempten (Allgäu),9763,0
307,Memmingen,9764,0
308,Aichach-Friedberg,9771,0
309,"Augsburg, Kreis",9772,2
310,Dillingen a.d.Donau,9773,0
311,Günzburg,9774,0
312,Neu-Ulm,9775,2
313,Lindau (Bodensee),9776,2
314,Ostallgäu,9777,0
315,Unterallgäu,9778,0
316,Donau-Ries,9779,0
317,Oberallgäu,9780,1
318,Regionalverband Saarbrücken,10041,2
319,Landkreis Merzig-Wadern,10042,2
320,Landkreis Neunkirchen,10043,2
321,Landkreis Saarlouis,10044,2
322,Saarpfalz-Kreis,10045,2
323,Landkreis St. Wendel,10046,2
324,Berlin,11000,2
325,Brandenburg an der Havel,12051,0
326,Cottbus,12052,0
327,Frankfurt (Oder),12053,1
328,Potsdam,12054,1
329,Barnim,12060,1
330,Dahme-Spreewald,12061,1
331,Elbe-Elster,12062,1
332,Havelland,12063,1
333,Märkisch-Oderland,12064,1
334,Oberhavel,12065,1
335,Oberspreewald-Lausitz,12066,1
336,Oder-Spree,12067,1
337,Ostprignitz-Ruppin,12068,1
338,Potsdam-Mittelmark,12069,1
339,Prignitz,12070,1
340,Spree-Neiße,12071,1
341,Teltow-Fläming,12072,1
342,Uckermark,12073,1
343,"Rostock, Hansestadt",13003,2
344,"Schwerin, Landeshauptstadt",13004,1
345,Mecklenburgische Seenplatte,13071,1
346,Landkreis Rostock,13072,1
347,Vorpommern-Rügen,13073,1
348,Nordwestmecklenburg,13074,0
349,Vorpommern-Greifswald,13075,1
350,Ludwigslust-Parchim,13076,1
351,Chemnitz,14511,2
352,Erzgebirgskreis,14521,1
353,Mittelsachsen,14522,1
354,Vogtlandkreis,14523,1
355,Zwickau,14524,1
356,Dresden,14612,2
357,Bautzen,14625,1
358,Görlitz,14626,1
359,Meißen,14627,1
360,Sächsische Schweiz-Osterzgebirge,14628,1
361,"Leipzig, Stadt",14713,2
362,"Leipzig, Kreis",14729,2
