_id,ags2,bundesland,ags5,kreis,kr_schuel,kr_schuel_vor,kr_schuel_grund,kr_schuel_haupt,kr_schuel_real,kr_schuel_gym,kr_schuel_waldorf,kr_schuel_geschul,kr_schuel_abend,kr_schuel_sonder,kr_schuel_orient,kr_schuel_mult,kr_schueler,kr_student,kr_azubi
1,01,Schleswig-Holstein,01001,"Flensburg, Stadt",11610,-99,3225,-99,-99,3492,435,4026,93,336,-99,-99,9829,7959,6627
2,01,Schleswig-Holstein,01002,"Kiel, Landeshauptstadt",23898,-99,7944,-99,-99,7215,1014,6951,105,480,-99,192,22982,30916,12096
3,01,Schleswig-Holstein,01003,"Lübeck, Hansestadt",20478,-99,7269,-99,-99,5247,609,6753,87,510,-99,-99,20776,8676,15427
4,01,Schleswig-Holstein,01004,"Neumünster, Stadt",10380,-99,2940,-99,-99,3135,327,3804,-99,174,-99,-99,9692,98,7426
5,01,Schleswig-Holstein,01051,Dithmarschen,13158,-99,4629,-99,-99,3717,132,4119,-99,375,-99,189,13000,1547,3758
6,01,Schleswig-Holstein,01053,Herzogtum Lauenburg,19320,-99,7539,-99,-99,4275,-99,7104,-99,405,-99,-99,19088,690,3641
7,01,Schleswig-Holstein,01054,Nordfriesland,16341,-99,5580,-99,-99,4134,-99,6126,-99,285,-99,216,14746,12,5312
8,01,Schleswig-Holstein,01055,Ostholstein,18558,-99,6459,-99,-99,4578,321,6669,-99,411,-99,123,18274,503,5457
9,01,Schleswig-Holstein,01056,Pinneberg,33948,-99,12054,-99,-99,9816,393,11079,-99,348,-99,255,34988,3663,6816
10,01,Schleswig-Holstein,01057,Plön,11607,-99,4560,-99,-99,2907,-99,3792,-99,297,-99,51,12264,1574,1698
11,01,Schleswig-Holstein,01058,Rendsburg-Eckernförde,26316,-99,9921,-99,-99,6249,498,8946,-99,516,-99,186,28561,2272,5624
12,01,Schleswig-Holstein,01059,Schleswig-Flensburg,19074,-99,7656,-99,-99,3255,-99,7575,-99,507,-99,78,20046,1129,2755
13,01,Schleswig-Holstein,01060,Segeberg,28413,-99,10278,-99,-99,7782,384,9399,-99,414,-99,156,29069,861,5656
14,01,Schleswig-Holstein,01061,Steinburg,12615,-99,4581,-99,-99,3204,357,4197,-99,165,-99,111,13394,71,3482
