_id,id,ags2,bundesland,ags5,kreis,kr_hh,kr_hh_1p,kr_hh_2p,kr_hh_3p,kr_hh_4p,kr_hh_5p,kr_hh_kind,kr_hh_k_00u03,kr_hh_k_03u06,kr_hh_k_06u10,kr_hh_k_10u15,kr_hh_k_15u18,kr_hh_dinks
1,1,01,Schleswig-Holstein,01001,"Flensburg, Stadt",50742,25107,16482,5165,3534,332,9586,1783,1599,2109,2371,1529,5347
2,2,01,Schleswig-Holstein,01002,"Kiel, Landeshauptstadt",137746,68879,41792,13932,10623,2019,27434,4954,4487,5586,7062,4083,14410
3,3,01,Schleswig-Holstein,01003,"Lübeck, Hansestadt",121501,57781,41983,12226,8290,1078,22583,3908,3668,4719,5792,3664,13044
4,4,01,Schleswig-Holstein,01004,"Neumünster, Stadt",40766,14953,17073,4749,3428,441,9004,1396,1422,1906,2445,1540,5073
5,5,01,Schleswig-Holstein,01051,Dithmarschen,66646,15617,39929,7318,3236,546,9795,1374,1474,2065,2803,1807,8248
6,6,01,Schleswig-Holstein,01053,Herzogtum Lauenburg,95025,26848,43650,15240,7496,1337,22941,3678,3578,4683,6070,3881,12032
7,7,01,Schleswig-Holstein,01054,Nordfriesland,87108,27387,45995,9483,3439,755,11577,1615,1717,2276,3332,2183,10426
8,8,01,Schleswig-Holstein,01055,Ostholstein,111273,45060,49436,9605,5960,826,15361,2258,2333,3277,4159,2813,12871
9,9,01,Schleswig-Holstein,01056,Pinneberg,153659,47662,68045,22226,13084,2167,36537,5835,5779,7683,10047,6029,19144
10,10,01,Schleswig-Holstein,01057,Plön,63699,17901,32303,8060,4279,876,12039,1770,1861,2510,3360,2127,7897
11,11,01,Schleswig-Holstein,01058,Rendsburg-Eckernförde,132169,34667,67226,18708,9430,1839,27604,3978,4274,5701,7606,4950,16714
12,12,01,Schleswig-Holstein,01059,Schleswig-Flensburg,96367,24487,49017,14343,6793,1312,18960,2717,2899,3961,5328,3238,11352
13,13,01,Schleswig-Holstein,01060,Segeberg,130591,35728,60378,20846,11273,2310,32255,4951,5085,6882,8524,5403,16526
14,14,01,Schleswig-Holstein,01061,Steinburg,64147,16822,32962,8736,4525,773,12888,1909,1943,2655,3525,2327,7758
15,15,01,Schleswig-Holstein,01062,Stormarn,117195,32516,54787,17169,9886,1755,27836,4150,4503,6026,7508,4629,15644
16,16,02,Hamburg,02000,Hamburg,982441,453731,295328,112741,84942,19870,217566,42008,37623,44851,55417,30912,101455
