_id,id,ags2,bundesland,ags5,kreis,kr_pkw_dichte,kr_mob_weg_2017,kr_mob_km_2017,kr_mob_ah_2017,kr_mob_fuss_2017,kr_mob_rad_2017,kr_mob_mivmf_2017,kr_mob_mivf_2017,kr_mob_oev_2017,kr_mob_oevw_2017,kr_mob_idx_2017,kr_mob_weg_f2020,kr_mob_weg_h2020,kr_mob_km_f2020,kr_mob_km_h2020,kr_mob_ah_f2020,kr_mob_ah_h2020,kr_mob_idx_f2020,kr_mob_idx_h2020,kr_mob_oev_f2020,kr_mob_oev_h2020,kr_mob_oevw_f2020,kr_mob_oevw_h2020
1,1,01,Schleswig-Holstein,01001,"Flensburg, Stadt",427,3.12269,36.0747,84.6,22.8,16.2,13.1,39.4,8.5,265.42865,63.534659188,2.3420175,2.498152,28.85976,27.056025,76.14,80.37,34.308715961,36.214755737,5.95,6.8,139.35004125,169.874336
2,2,01,Schleswig-Holstein,01002,"Kiel, Landeshauptstadt",385,3.19762,33.8711,85.2,22.7,17.0,12.5,37.1,10.7,342.14534,61.518323052,2.238334,2.558096,27.09688,20.32266,80.94,76.68,32.727747864,26.575915559,4.28,6.955,95.8006952,177.9155768
3,3,01,Schleswig-Holstein,01003,"Lübeck, Hansestadt",408,3.11096,33.1605,85.3,23.9,19.1,12.0,34.1,10.9,339.09464,58.66421579,2.177672,2.488768,26.5284,19.8963,81.035,76.77,31.2093628,25.342941221,4.36,7.085,94.9464992,176.3292128
4,4,01,Schleswig-Holstein,01004,"Neumünster, Stadt",464,3.11408,37.1178,84.7,21.2,15.6,13.3,41.8,8.1,252.24048,65.268576956,2.179856,2.33556,33.40602,29.69424,80.465,76.23,39.063243308,35.245031556,4.86,5.67,105.9410016,132.426252
5,5,01,Schleswig-Holstein,01051,Dithmarschen,572,3.06017,40.8078,83.9,19.2,10.3,14.8,48.4,7.3,223.39241,69.848878446,2.2951275,2.448136,32.64624,30.60585,75.51,79.705,37.718394361,39.813860714,5.11,5.84,117.28101525,142.9711424
6,6,01,Schleswig-Holstein,01053,Herzogtum Lauenburg,552,3.0313,40.3404,85.1,20.7,10.9,14.1,44.0,10.3,312.2239,69.375706798,2.12191,2.273475,36.30636,32.27232,80.845,76.59,41.521360518,37.462881671,6.18,7.21,131.134038,163.9175475
7,7,01,Schleswig-Holstein,01054,Nordfriesland,573,3.15743,41.5371,85.2,20.3,12.7,13.7,46.7,6.5,205.23295,74.493475851,2.3680725,2.525944,33.22968,31.152825,76.68,80.94,40.226476959,42.461281235,4.55,5.2,107.74729875,131.349088
8,8,01,Schleswig-Holstein,01055,Ostholstein,581,3.12947,40.2907,84.2,22.2,9.6,14.2,48.2,5.8,181.50926,70.777698729,2.190629,2.3471025,36.26163,32.23256,79.99,75.78,42.36045269,38.219957314,3.48,4.06,76.2338892,95.2923615
9,9,01,Schleswig-Holstein,01056,Pinneberg,507,3.14782,40.5312,85.3,19.9,15.4,13.2,40.9,10.7,336.81674,72.553292302,2.360865,2.518256,30.3984,28.37184,81.035,76.77,38.770665574,36.56685932,5.35,7.49,126.3062775,188.6173744
10,10,01,Schleswig-Holstein,01057,Plön,585,3.15046,38.9928,84.8,21.2,10.0,13.9,45.1,9.8,308.74508,69.448518448,2.205322,2.362845,35.09352,31.19424,80.56,76.32,41.564938291,37.502199962,5.88,6.86,129.6729336,162.091167
11,11,01,Schleswig-Holstein,01058,Rendsburg-Eckernförde,590,3.19415,40.9486,84.4,17.7,13.8,15.3,47.1,6.0,191.649,73.594532842,2.235905,2.3956125,36.85374,32.75888,80.18,75.96,44.046327906,39.741047734,3.6,4.2,80.49258,100.615725
12,12,01,Schleswig-Holstein,01059,Schleswig-Flensburg,591,3.11962,42.9482,84.8,19.2,9.4,14.6,50.3,6.5,202.7753,75.744526669,2.339715,2.495696,34.35856,32.21115,76.32,80.56,40.902044401,43.174380202,4.55,5.2,106.4570325,129.776192
13,13,01,Schleswig-Holstein,01060,Segeberg,542,3.10011,40.4586,84.5,18.9,10.8,14.2,47.0,9.2,285.21012,70.656708885,2.170077,2.3250825,36.41274,32.36688,80.275,76.05,42.288040267,38.154622798,5.52,6.44,119.7882504,149.735313
14,14,01,Schleswig-Holstein,01061,Steinburg,571,3.0616,39.1569,84.3,21.6,12.1,13.9,45.5,6.9,211.2504,67.374113952,2.2962,2.44928,31.32552,29.367675,75.87,80.085,36.382021534,38.403244953,4.83,5.52,110.90646,135.200256
15,15,01,Schleswig-Holstein,01062,Stormarn,552,3.09371,43.1846,86.2,21.1,10.5,13.5,42.8,12.1,374.33891,76.775828055,2.3202825,2.474968,32.38845,30.22922,81.89,77.58,41.027083117,38.69501734,6.05,8.47,140.37709125,209.6297896
16,16,02,Hamburg,02000,Hamburg,347,3.15409,36.9054,86.2,26.0,15.9,10.8,27.3,19.9,627.66391,66.89289704,2.207863,2.523272,29.52432,22.14324,81.89,77.58,35.587021225,28.897731521,7.96,12.935,175.7458948,326.3852332
17,17,03,Niedersachsen,03101,Braunschweig,442,3.17297,36.2834,85.7,21.6,20.0,11.8,36.3,10.3,326.81591,65.775401147,2.221079,2.538376,29.02672,21.77004,81.415,77.13,34.99251341,28.414973296,4.12,6.695,91.5084548,169.9442732
18,18,03,Niedersachsen,03102,Salzgitter,492,3.00782,34.359,84.1,22.2,8.3,15.3,44.5,9.7,291.75854,57.942482058,2.105474,2.406256,27.4872,20.6154,79.895,75.69,30.825400455,25.031152249,3.88,6.305,81.6923912,151.7144408
19,19,03,Niedersachsen,03103,Wolfsburg,441,3.16437,43.3422,85.9,17.9,4.2,14.4,58.0,5.5,174.04035,78.541667079,2.215059,2.531496,34.67376,26.00532,81.605,77.31,41.784166886,33.930000178,2.2,3.575,48.731298,90.500982
20,20,03,Niedersachsen,03151,Gifhorn,571,3.1499,42.721,85.7,18.0,13.1,14.2,46.8,7.9,248.8421,76.882542907,2.362425,2.51992,34.1768,32.04075,77.13,81.415,41.51657317,43.823049457,5.53,6.32,130.6421025,159.258944
21,21,03,Niedersachsen,03153,Goslar,539,3.13401,37.489,84.5,20.9,13.7,13.1,44.3,8.0,250.7208,66.186540835,2.193807,2.3505075,33.7401,29.9912,80.275,76.05,39.61264469,35.740732051,4.8,5.6,105.302736,131.62842
22,22,03,Niedersachsen,03154,Helmstedt,569,3.09542,37.9867,84.2,21.2,9.6,14.7,45.3,9.2,284.77864,66.004262633,2.166794,2.321565,34.18803,30.38936,79.99,75.78,39.503551186,35.642301822,5.52,6.44,119.6070288,149.508786
23,23,03,Niedersachsen,03155,Northeim,605,3.112,38.1472,84.8,21.2,10.0,14.1,47.1,7.7,239.624,67.113030178,2.334,2.4896,30.51776,28.6104,76.32,80.56,36.241036296,38.254427202,5.39,6.16,125.8026,153.35936
24,24,03,Niedersachsen,03157,Peine,595,3.1598,40.0689,85.1,18.0,10.0,15.1,49.2,7.7,243.3046,71.829908931,2.36985,2.52784,30.051675,28.04823,80.845,76.59,38.384107585,36.202274101,3.85,5.39,91.239225,136.250576
25,25,03,Niedersachsen,03158,Wolfenbüttel,586,3.07866,39.5073,85.1,20.7,14.6,12.5,42.4,9.8,301.70868,69.004494753,2.155062,2.308995,35.55657,31.60584,80.845,76.59,41.29919011,37.262427167,5.88,6.86,126.7176456,158.397057
26,26,03,Niedersachsen,03159,Göttingen,515,3.01234,36.9513,82.9,22.9,8.5,13.9,45.7,9.1,274.12294,61.517259817,2.259255,2.409872,27.713475,25.86591,78.755,74.61,32.873285715,31.004698948,4.55,6.37,102.7961025,153.5088464
27,27,03,Niedersachsen,03241,Hannover,445,3.17963,37.3924,85.3,22.0,16.1,11.9,35.6,14.5,461.04635,67.611052854,2.3847225,2.543704,28.0443,26.17468,81.035,76.77,36.129656369,34.075970638,7.25,10.15,172.89238125,258.185956
28,28,03,Niedersachsen,03251,Diepholz,592,3.21384,42.9542,86.1,17.2,16.4,13.6,45.3,7.4,237.82416,79.239509597,2.249688,2.41038,38.65878,34.36336,81.795,77.49,47.424846494,42.789335183,4.44,5.18,99.8861472,124.857684
29,29,03,Niedersachsen,03252,Hameln-Pyrmont,581,3.07568,36.129,83.5,21.4,7.3,16.0,47.9,7.5,230.676,61.857491781,2.152976,2.30676,32.5161,28.9032,79.325,75.15,37.021708831,33.403045562,4.5,5.25,96.88392,121.1049
30,30,03,Niedersachsen,03254,Hildesheim,543,3.11096,35.8281,84.9,21.2,16.0,13.4,39.9,9.5,295.5412,63.086238862,2.33322,2.488768,26.871075,25.07967,80.655,76.41,33.711708892,31.795464387,4.75,6.65,110.82795,165.503072
31,31,03,Niedersachsen,03255,Holzminden,593,3.03866,38.074,83.9,21.0,8.8,14.7,47.9,7.6,230.93816,64.711477577,2.127062,2.278995,34.2666,30.4592,79.705,75.51,38.72981933,34.944197891,4.56,5.32,96.9940272,121.242534
32,32,03,Niedersachsen,03256,Nienburg/Weser,583,3.04673,40.1025,84.1,17.0,12.2,14.6,49.6,6.6,201.08418,68.503088629,2.2850475,2.437384,32.082,30.076875,75.69,79.895,36.991667859,39.046760518,4.62,5.28,105.5691945,128.6938752
33,33,03,Niedersachsen,03257,Schaumburg,597,3.16255,42.1033,85.3,18.6,10.7,15.8,47.3,7.5,237.19125,75.720122718,2.3719125,2.53004,31.577475,29.47231,81.035,76.77,40.462940577,38.16294185,3.75,5.25,88.94671875,132.8271
34,34,03,Niedersachsen,03351,Celle,565,3.0772,38.4571,84.8,17.3,14.8,14.5,45.5,7.8,240.0216,66.901653017,2.3079,2.46176,30.76568,28.842825,76.32,80.56,36.126892629,38.13394222,5.46,6.24,126.01134,153.613824
35,35,03,Niedersachsen,03352,Cuxhaven,599,3.26394,41.5263,85.3,15.2,13.5,14.9,50.0,6.4,208.89216,77.076711289,2.447955,2.611152,33.22104,31.144725,76.77,81.035,41.621424096,43.933725435,4.48,5.12,109.668384,133.6909824
36,36,03,Niedersachsen,03353,Harburg,596,3.17646,44.481,86.1,17.7,10.6,14.2,46.9,10.6,336.70476,81.101675307,2.382345,2.541168,33.36075,31.1367,81.795,77.49,43.338707742,40.875244355,5.3,7.42,126.264285,188.5546656
37,37,03,Niedersachsen,03354,Lüchow-Dannenberg,594,3.04062,37.5983,83.3,20.1,11.6,13.9,47.0,7.4,225.00588,63.486896716,2.280465,2.432496,30.07864,28.198725,74.97,79.135,34.282924227,36.187531128,5.18,5.92,118.128087,144.0037632
38,38,03,Niedersachsen,03355,Lüneburg,508,3.19719,43.9627,85.1,20.0,13.9,15.7,41.8,8.7,278.15553,79.742730797,2.3978925,2.557752,35.17016,32.972025,76.59,80.845,43.061074631,45.453356554,6.09,6.96,146.03165325,178.0195392
39,39,03,Niedersachsen,03356,Osterholz,600,3.14483,42.1722,85.1,17.7,14.6,14.4,45.0,8.3,261.02089,75.242242778,2.3586225,2.515864,31.62915,29.52054,80.845,76.59,40.207573484,37.92209036,4.15,5.81,97.88283375,146.1716984
40,40,03,Niedersachsen,03357,Rotenburg (Wümme),596,3.23162,41.6819,86.0,17.2,16.1,13.2,47.2,6.3,203.59206,77.228035362,2.423715,2.585296,33.34552,31.261425,77.4,81.7,41.703139096,44.019980156,4.41,5.04,106.8858315,130.2989184
41,41,03,Niedersachsen,03358,Heidekreis,582,3.09029,39.2971,84.0,19.6,12.4,14.8,44.0,9.2,284.30668,68.006083689,2.3177175,2.472232,31.43768,29.472825,75.6,79.8,36.723285192,38.763467703,6.44,7.36,149.261007,181.9562752
42,42,03,Niedersachsen,03359,Stade,566,3.18059,41.2656,85.0,20.1,13.8,14.2,43.6,8.3,263.98897,74.374407666,2.226413,2.3854425,37.13904,33.01248,80.75,76.5,44.513082988,40.162180139,4.98,5.81,110.8753674,138.59420925
43,43,03,Niedersachsen,03360,Uelzen,572,3.14725,41.6896,84.5,19.4,11.7,14.4,46.8,7.6,239.191,73.913611061,2.3604375,2.5178,33.35168,31.2672,76.05,80.275,39.913349973,42.130758305,5.32,6.08,125.575275,153.08224
44,44,03,Niedersachsen,03361,Verden,576,3.10866,41.6248,86.1,20.4,13.6,14.7,43.2,8.1,251.80146,74.274079341,2.176062,2.331495,37.46232,33.29984,81.795,77.49,44.453036485,40.108002844,4.86,5.67,105.7566132,132.1957665
45,45,03,Niedersachsen,03401,Delmenhorst,500,3.10144,35.1249,84.9,18.5,14.3,14.9,43.6,8.7,269.82528,61.658777738,2.171008,2.32608,31.61241,28.09992,80.655,76.41,36.902778476,33.295739979,5.22,6.09,113.3266176,141.658272
46,46,03,Niedersachsen,03402,Emden,446,3.03175,36.6176,83.9,22.0,10.9,15.1,42.8,9.3,281.95275,62.094618655,2.122225,2.2738125,32.95584,29.29408,79.705,75.51,37.163629265,33.531094074,5.58,6.51,118.420155,148.02519375
47,47,03,Niedersachsen,03403,Oldenburg,456,3.39974,40.5229,88.4,17.8,29.8,12.1,33.8,6.5,220.9831,81.190876304,2.379818,2.719792,32.41832,24.31374,83.98,79.56,43.193546194,35.074458564,2.6,4.225,61.875268,114.911212
48,48,03,Niedersachsen,03404,Osnabrück,438,3.16473,37.2535,85.7,24.8,12.3,12.6,39.7,10.7,338.62611,67.35863972,2.215311,2.531784,29.8028,22.3521,81.415,77.13,35.834796331,29.098932359,4.28,6.955,94.8153108,176.0855772
49,49,03,Niedersachsen,03405,Wilhelmshaven,490,3.0668,33.6296,83.4,21.7,16.6,11.8,42.9,7.0,214.676,57.343203048,2.3001,2.45344,25.2222,23.54072,79.23,75.06,30.642774129,28.900974336,3.5,4.9,80.5035,120.21856
50,50,03,Niedersachsen,03451,Ammerland,588,3.1573,38.7925,85.0,16.4,12.2,14.1,50.6,6.7,211.5391,69.405084142,2.367975,2.52584,29.094375,27.15475,80.75,76.5,37.088341838,34.980162407,3.35,4.69,79.3271625,118.461896
51,51,03,Niedersachsen,03452,Aurich,564,2.98165,38.1078,84.1,19.3,13.6,14.8,44.3,8.0,238.532,63.705257662,2.087155,2.2362375,34.29702,30.48624,79.895,75.69,38.127596711,34.400839137,4.8,5.6,100.18344,125.2293
52,52,03,Niedersachsen,03453,Cloppenburg,542,3.15317,38.0096,84.6,15.4,16.6,16.2,45.8,5.9,186.03703,67.595811964,2.207219,2.3648775,34.20864,30.40768,80.37,76.14,40.45609346,36.50173846,3.54,4.13,78.1355526,97.66944075
53,53,03,Niedersachsen,03454,Emsland,554,3.05546,38.7638,84.1,16.1,15.9,14.3,47.2,6.5,198.6049,66.406055422,2.291595,2.444368,31.01104,29.07285,75.69,79.895,35.859269928,37.85145159,4.55,5.2,104.2675725,127.107136
54,54,03,Niedersachsen,03455,Friesland,619,3.15383,40.4776,84.9,17.2,13.1,14.0,49.8,5.9,186.07597,72.255259572,2.3653725,2.523064,30.3582,28.33432,80.655,76.41,38.611404334,36.416650824,2.95,4.13,69.77848875,104.2025432
55,55,03,Niedersachsen,03456,Grafschaft Bentheim,555,3.12823,40.4631,84.6,18.2,18.6,14.2,42.0,6.9,215.84787,71.389926189,2.3461725,2.502584,32.37048,30.347325,76.14,80.37,38.550560142,40.692257927,4.83,5.52,113.32013175,138.1426368
56,56,03,Niedersachsen,03457,Leer,564,3.06185,38.6118,84.8,18.0,15.4,15.1,44.9,6.6,202.0821,66.835707851,2.143295,2.2963875,34.75062,30.88944,80.56,76.32,40.001171149,36.091282239,3.96,4.62,84.874482,106.0931025
57,57,03,Niedersachsen,03458,Oldenburg,587,3.19924,41.2,85.7,17.8,13.8,13.7,46.2,8.5,271.9354,75.306697077,2.239468,2.39943,37.08,32.96,81.415,77.13,45.071058201,40.665616422,5.1,5.95,114.212868,142.766085
58,58,03,Niedersachsen,03459,Osnabrück,592,3.25126,40.8672,86.4,17.9,9.7,14.7,51.5,6.3,204.82938,76.533058179,2.275882,2.438445,36.78048,32.69376,82.08,77.76,45.80503532,41.327851417,3.78,4.41,86.0283396,107.5354245
59,59,03,Niedersachsen,03460,Vechta,548,3.23813,40.9916,85.9,18.6,14.5,14.9,44.8,7.2,233.14536,76.013556946,2.266691,2.4285975,36.89244,32.79328,81.605,77.31,45.494113832,41.047320751,4.32,5.04,97.9210512,122.401314
60,60,03,Niedersachsen,03461,Wesermarsch,563,3.17401,38.6596,85.0,17.5,12.1,13.4,48.0,9.0,285.6609,69.533375631,2.3805075,2.539208,30.92768,28.9947,76.5,80.75,37.548022841,39.63402411,6.3,7.2,149.9719725,182.822976
