,ags5,labor_market_region,growing_/_shrinking_circles,labor_market_type,grw_funding_framework,settlement_structure_type_of_labor_market_region,room_type_location,district_settlement_structure,type_of_settlement_structure,urban_/_rural,metropolitan_region,metropolitan_area,east_west,border_proximity
0,1001,4,5,5,1,3,2,4,3,2,99,99,1,1
1,1002,6,4,2,4,1,2,1,2,1,99,99,1,0
2,1003,5,4,5,4,1,1,1,2,1,5,99,1,0
3,1004,6,4,5,6,1,2,3,2,2,5,99,1,0
4,1051,2,4,5,1,3,4,4,3,2,5,99,1,0
5,1053,7,4,4,6,2,2,3,2,2,5,99,1,0
6,1054,1,4,5,1,3,4,4,3,2,99,99,1,1
7,1055,5,5,5,1,1,2,3,2,2,5,99,1,0
8,1056,8,5,4,5,1,1,2,2,1,5,99,1,0
9,1057,6,3,2,6,1,3,3,2,2,99,99,1,0
10,1058,6,4,5,6,1,3,3,2,2,99,99,1,0
11,1059,4,5,5,1,3,3,4,3,2,99,99,1,1
12,1060,8,5,4,8,1,2,3,2,2,5,99,1,0
13,1061,3,4,5,4,3,2,4,3,2,5,99,1,0
14,1062,8,5,4,8,1,1,2,2,1,5,99,1,0
15,2000,8,4,2,8,1,1,1,1,1,5,99,1,0
16,3101,9,3,5,8,1,1,1,2,1,99,3,1,0
17,3102,10,4,5,8,1,2,1,2,1,99,3,1,0
18,3103,11,4,4,8,1,2,1,2,1,99,3,1,0
19,3151,11,5,4,8,1,3,4,2,2,99,3,1,0
20,3153,13,2,5,1,2,3,3,2,2,99,3,1,0
21,3154,14,4,4,1,2,2,3,2,2,99,3,1,0
22,3155,15,2,5,6,3,3,4,2,2,99,3,1,0
23,3157,9,4,5,8,1,2,2,2,1,99,3,1,0
24,3158,9,4,5,8,1,2,3,2,2,99,3,1,0
25,3159,12,4,5,4,1,2,2,2,1,99,3,1,0
26,3241,17,4,2,8,1,1,2,1,1,99,3,1,0
27,3251,18,4,4,8,3,2,3,2,2,99,2,1,0
28,3252,19,2,5,6,2,2,3,2,2,99,3,1,0
29,3254,20,4,5,6,1,2,2,2,1,99,3,1,0
30,3255,21,2,5,1,3,3,4,2,2,99,3,1,0
31,3256,22,3,4,6,3,3,4,1,2,99,3,1,0
32,3257,23,4,5,1,1,2,2,1,1,99,3,1,0
33,3351,24,4,5,6,3,3,4,3,2,99,3,1,0
34,3352,43,3,4,1,2,3,4,2,2,5,2,1,0
35,3353,8,5,4,8,1,2,2,3,1,5,99,1,0
36,3354,29,2,4,1,3,4,4,3,2,5,99,1,0
37,3355,25,4,4,6,3,2,4,3,2,5,99,1,0
38,3356,42,4,3,6,1,2,2,2,1,99,2,1,0
39,3357,26,4,4,8,3,3,4,3,2,5,99,1,0
40,3358,27,4,5,1,3,3,4,3,2,5,3,1,0
41,3359,28,4,4,8,2,3,3,3,2,5,99,1,0
42,3360,29,3,4,1,3,3,4,3,2,5,99,1,0
43,3361,30,4,4,8,2,2,3,2,2,99,2,1,0
44,3401,42,4,5,6,1,2,3,2,2,99,2,1,0
45,3402,31,4,5,6,2,3,3,2,2,99,99,1,1
46,3403,33,5,5,6,1,2,1,2,1,99,2,1,0
47,3404,34,5,4,8,1,1,1,2,1,99,99,1,0
48,3405,35,2,5,1,1,3,2,2,1,99,2,1,0
49,3451,32,5,5,8,1,2,2,2,1,99,2,1,0
50,3452,31,4,5,6,2,3,3,2,2,99,99,1,1
51,3453,36,4,7,8,2,3,3,2,2,99,2,1,0
52,3454,37,4,7,8,3,3,4,3,2,99,99,1,1
53,3455,35,2,5,1,1,3,2,2,1,99,2,1,2
54,3456,38,4,7,8,3,2,4,3,2,99,99,1,1
55,3457,39,4,5,6,2,3,3,2,2,99,99,1,1
56,3458,33,5,5,6,1,2,3,2,2,99,2,1,0
57,3459,34,4,4,8,1,2,3,2,2,99,2,1,0
58,3460,40,4,7,8,2,2,3,2,2,99,2,1,0
59,3461,41,2,5,8,3,3,4,2,2,99,2,1,0
60,3462,35,3,5,1,1,3,4,2,2,99,99,1,1
61,4011,42,4,3,4,1,1,1,1,1,99,2,1,0
62,4012,43,4,3,1,2,2,1,2,1,99,2,1,0
63,5111,45,4,2,8,1,1,1,1,1,99,1,1,0
64,5112,46,4,3,7,1,1,1,1,1,3,1,1,2
65,5113,47,4,3,7,1,1,1,1,1,3,1,1,0
66,5114,48,4,5,6,1,1,1,1,1,99,1,1,2
67,5116,50,4,5,1,1,1,1,1,1,99,1,1,2
68,5117,47,4,3,7,1,1,1,1,1,3,1,1,0
69,5119,46,3,3,6,1,1,1,1,1,3,1,1,0
70,5120,54,3,3,6,1,1,1,1,1,99,1,1,0
71,5122,52,4,3,6,1,1,1,1,1,99,1,1,0
72,5124,52,4,3,6,1,1,1,1,1,99,1,1,0
73,5154,55,4,4,8,1,1,2,1,1,99,99,1,1
74,5158,45,4,4,8,1,1,2,1,1,99,1,1,0
75,5162,45,4,5,8,1,1,2,1,1,6,1,1,2
76,5166,49,4,5,7,1,1,2,1,1,99,1,1,1
77,5170,46,2,4,6,1,1,2,1,1,3,1,1,2
78,5314,59,4,1,8,1,1,1,1,1,6,1,1,0
79,5315,57,5,2,8,1,1,1,1,1,6,1,1,0
80,5316,58,3,4,8,1,1,1,1,1,6,1,1,0
81,5334,56,3,5,6,1,1,2,1,1,99,99,1,1
82,5358,60,3,5,8,1,1,2,1,1,99,99,1,2
83,5362,57,4,5,8,1,1,2,1,1,6,1,1,0
84,5366,61,4,5,8,1,1,2,1,1,99,99,1,1
85,5370,51,4,5,6,1,1,2,1,1,99,99,1,1
86,5374,62,4,4,8,1,1,2,1,1,6,1,1,0
87,5378,57,4,4,8,1,1,2,1,1,6,1,1,0
88,5382,59,4,1,8,1,1,2,1,1,6,1,1,0
89,5512,63,3,3,1,1,1,1,1,1,3,1,1,2
90,5513,63,3,3,1,1,1,1,1,1,3,1,1,0
91,5515,64,5,1,8,1,1,1,2,1,99,99,1,0
92,5554,65,4,6,8,1,1,2,2,1,99,99,1,1
93,5558,64,4,6,8,1,1,2,2,1,99,99,1,2
94,5562,63,2,3,4,1,1,2,1,1,3,1,1,2
95,5566,66,4,4,8,1,2,2,2,1,99,99,1,2
96,5570,64,3,1,8,1,2,2,2,1,99,99,1,0
97,5711,67,3,4,6,1,1,1,1,1,99,99,1,0
98,5754,68,4,4,8,1,1,2,1,1,99,99,1,0
99,5758,67,4,4,6,1,1,2,1,1,99,99,1,0
100,5762,44,2,4,6,2,3,3,2,2,99,99,1,0
101,5766,69,3,5,6,1,2,2,1,1,99,99,1,0
102,5770,70,4,4,8,1,2,2,1,1,99,99,1,0
103,5774,71,4,4,8,1,2,2,2,1,99,99,1,0
104,5911,72,3,3,1,1,1,1,1,1,3,1,1,0
105,5913,73,4,3,1,1,1,1,1,1,3,1,1,0
106,5914,74,3,5,1,1,1,1,1,1,3,1,1,0
107,5915,73,3,3,6,1,1,1,1,1,3,1,1,0
108,5916,63,3,3,1,1,1,1,1,1,3,1,1,0
109,5954,53,3,5,8,1,1,2,1,1,3,1,1,0
110,5958,76,2,4,8,2,2,3,2,2,99,99,1,0
111,5962,75,1,4,8,1,1,2,1,1,99,1,1,0
112,5966,78,2,6,8,1,2,2,2,1,99,99,1,0
