ags2,ags5,kreis,Number_of_Commuters_place_of_work,Number_of_Commuters_on_place_of_residence),Commuter_Balance,Proportion_of_in_commuters,Share_of_out_commuters,Relative Commuter Balance,Commute_within_50km,Commute_within_150km,Commute_within_300km
1,1001,"Flensburg, Stadt",23363,11096,12267,52.4,34.2,27.7,14.0,7.7,3.6
1,1002,"Kiel, Landeshauptstadt",61487,27950,33537,49.1,30.3,27.1,13.1,4.6,3.4
1,1003,"Lübeck, Hansestadt",43805,24823,18982,43.6,31.3,17.9,15.0,3.9,3.0
1,1004,"Neumünster, Stadt",22314,11699,10615,54.5,38.6,25.9,14.7,4.4,3.6
1,1051,Dithmarschen,6825,12991,6166,70.8,73.5,-15.8,16.7,4.0,3.1
1,1053,Herzogtum Lauenburg,18792,45481,26689,71.7,79.7,-52.4,15.6,4.1,2.9
1,1054,Nordfriesland,10178,12250,2072,66.0,65.7,-1.6,15.1,6.1,3.2
1,1055,Ostholstein,16308,27625,11317,65.9,70.8,-16.7,15.2,4.4,2.9
1,1056,Pinneberg,35147,70989,35842,74.2,81.0,-36.2,7.2,4.1,3.3
1,1057,Plön,10503,28764,18261,74.3,83.8,-68.8,11.4,3.8,2.9
1,1058,Rendsburg-Eckernförde,27975,48145,20170,77.6,81.5,-25.9,12.2,3.6,2.7
1,1059,Schleswig-Flensburg,16894,30921,14027,75.8,79.5,-22.7,11.6,4.8,2.4
1,1060,Segeberg,40824,61004,20180,74.7,79.2,-24.0,12.0,4.3,3.5
1,1061,Steinburg,11550,23339,11789,71.8,76.4,-28.6,21.6,3.6,2.8
1,1062,Stormarn,49647,58640,8993,82.1,83.4,-8.6,11.7,5.1,4.0
2,2000,Hamburg,359520,132332,227188,36.3,17.1,23.2,8.8,6.3,5.2
3,3101,Braunschweig,66069,36715,29354,50.0,35.4,22.6,10.8,5.5,3.2
3,3102,Salzgitter,25372,15819,9553,51.9,39.6,20.4,11.2,4.4,2.6
3,3103,Wolfsburg,78664,9872,68792,64.6,17.7,57.0,6.5,3.8,2.4
3,3151,Gifhorn,14819,44446,29627,68.6,82.4,-78.8,8.4,3.2,2.0
3,3153,Goslar,12794,16200,3406,52.1,55.1,-6.5,16.1,5.5,2.9
3,3154,Helmstedt,10184,24462,14278,67.4,80.8,-73.9,9.1,3.9,2.3
3,3155,Northeim,13838,19483,5645,58.2,62.6,-11.8,10.6,4.3,2.2
3,3157,Peine,11447,32617,21170,60.4,76.1,-65.6,9.7,4.3,2.5
3,3158,Wolfenbüttel,10635,32534,21899,65.2,80.7,-84.4,8.8,3.8,2.1
3,3159,Göttingen,37075,28805,8270,58.9,55.8,6.9,12.0,6.1,2.9
3,3241,Hannover,129166,65199,63967,60.5,54.8,12.7,10.1,5.9,3.5
3,3251,Diepholz,24711,42728,18017,68.9,75.3,-27.0,10.7,3.8,2.2
3,3252,Hameln-Pyrmont,14193,18607,4414,56.4,59.1,-6.4,12.4,4.2,2.0
3,3254,Hildesheim,23140,35987,12847,60.3,65.1,-13.9,11.1,4.9,2.9
3,3255,Holzminden,7931,11001,3070,66.1,70.4,-16.1,12.2,3.9,1.7
3,3256,Nienburg/Weser,11205,18652,7447,66.2,72.4,-22.3,15.8,3.8,2.1
3,3257,Schaumburg,14500,28525,14025,71.5,78.2,-30.6,12.2,4.6,2.4
3,3351,Celle,13014,21677,8663,58.2,63.9,-16.0,13.5,4.8,2.7
3,3352,Cuxhaven,10614,34928,24314,50.8,68.2,-54.8,16.9,4.8,2.3
3,3353,Harburg,27389,64612,37223,71.9,82.6,-61.3,10.8,5.2,4.0
3,3354,Lüchow-Dannenberg,3622,5486,1864,68.2,71.8,-12.5,21.9,7.2,3.9
3,3355,Lüneburg,16367,26786,10419,66.0,71.3,-18.4,24.0,4.8,2.8
3,3356,Osterholz,11107,28945,17838,67.2,80.8,-70.5,8.7,3.9,2.5
3,3357,Rotenburg (Wümme),14232,25153,10921,66.4,71.5,-17.9,18.2,3.5,2.3
3,3358,Heidekreis,10997,17426,6429,58.3,63.4,-13.8,18.2,4.3,3.0
3,3359,Stade,14709,34259,19550,65.5,73.6,-30.4,12.0,4.1,3.0
