,ags2,ags5,kreis,households_of_1_person,households_of_2_person,households_of_3_person,households_of_4_person,households_of_5_person_or_more,household_with_kids,household_with_kids_under_3,household_with_kids_over_3_under_6,household_with_kids_over_6_under_10,household_with_kids_over_10_under_15,household_with_kids_over_15_under_18,household_with_double_income_no_kids
0,01,01001,"Flensburg, Stadt",25107,16482,5165,3534,332,9586,1783,1599,2109,2371,1529,5347
1,01,01002,"Kiel, Landeshauptstadt",68879,41792,13932,10623,2019,27434,4954,4487,5586,7062,4083,14410
2,01,01003,"Lübeck, Hansestadt",57781,41983,12226,8290,1078,22583,3908,3668,4719,5792,3664,13044
3,01,01004,"Neumünster, Stadt",14953,17073,4749,3428,441,9004,1396,1422,1906,2445,1540,5073
4,01,01051,Dithmarschen,15617,39929,7318,3236,546,9795,1374,1474,2065,2803,1807,8248
5,01,01053,Herzogtum Lauenburg,26848,43650,15240,7496,1337,22941,3678,3578,4683,6070,3881,12032
6,01,01054,Nordfriesland,27387,45995,9483,3439,755,11577,1615,1717,2276,3332,2183,10426
7,01,01055,Ostholstein,45060,49436,9605,5960,826,15361,2258,2333,3277,4159,2813,12871
8,01,01056,Pinneberg,47662,68045,22226,13084,2167,36537,5835,5779,7683,10047,6029,19144
9,01,01057,Plön,17901,32303,8060,4279,876,12039,1770,1861,2510,3360,2127,7897
10,01,01058,Rendsburg-Eckernförde,34667,67226,18708,9430,1839,27604,3978,4274,5701,7606,4950,16714
11,01,01059,Schleswig-Flensburg,24487,49017,14343,6793,1312,18960,2717,2899,3961,5328,3238,11352
12,01,01060,Segeberg,35728,60378,20846,11273,2310,32255,4951,5085,6882,8524,5403,16526
13,01,01061,Steinburg,16822,32962,8736,4525,773,12888,1909,1943,2655,3525,2327,7758
14,01,01062,Stormarn,32516,54787,17169,9886,1755,27836,4150,4503,6026,7508,4629,15644
15,02,02000,Hamburg,453731,295328,112741,84942,19870,217566,42008,37623,44851,55417,30912,101455
16,03,03101,Braunschweig,72034,44362,12592,10515,1064,28057,5059,4610,5792,7190,4353,14977
17,03,03102,Salzgitter,21695,19967,6119,5514,554,12925,2371,2127,2724,3279,2053,6354
18,03,03103,Wolfsburg,28705,24704,7328,5140,572,14128,2683,2507,2974,3283,2166,8067
19,03,03151,Gifhorn,19068,36302,15705,7571,1272,22950,3802,3723,4703,5799,3713,10947
20,03,03153,Goslar,36311,28492,8418,4025,348,12640,1756,1857,2421,3330,2105,8167
21,03,03154,Helmstedt,15696,23249,5688,2691,256,8622,1363,1419,1716,2282,1390,6450
22,03,03155,Northeim,24865,27864,10326,4768,411,14306,1976,2247,2833,3678,2200,8179
23,03,03157,Peine,19945,30513,9465,5505,447,15160,2378,2511,3167,3802,2545,9024
24,03,03158,Wolfenbüttel,20546,27789,7689,4655,420,12763,1926,1952,2630,3280,2223,7988
25,03,03159,Göttingen,75675,62135,20728,13227,1953,35537,5531,5600,7312,9060,5659,19119
26,03,03241,Hannover,249146,212151,72808,54764,8697,144453,24796,23859,30378,37364,22547,67777
27,03,03251,Diepholz,25502,46782,17105,9630,1519,22863,3290,3387,4674,6691,3733,12603
28,03,03252,Hameln-Pyrmont,32376,31816,9468,5543,387,15174,2265,2431,3076,3994,2481,9462
29,03,03254,Hildesheim,54186,57846,19209,10705,1225,31137,4675,4874,6198,8368,5224,17510
30,03,03255,Holzminden,13051,15392,5321,2456,266,7358,1070,1140,1490,1822,1228,4205
31,03,03256,Nienburg/Weser,15634,24876,9233,5957,859,13243,1847,2001,2722,3847,2133,6618
32,03,03257,Schaumburg,32340,31158,12743,5599,490,17067,2333,2572,3261,4431,2791,9023
33,03,03351,Celle,23724,43077,12300,6716,1022,19016,2839,3067,3914,5038,3169,11237
34,03,03352,Cuxhaven,29004,53021,11704,6092,720,16557,2352,2549,3363,4679,2760,12674
35,03,03353,Harburg,31951,60552,18025,9365,1521,27429,4150,4375,5712,7342,4454,16957
36,03,03354,Lüchow-Dannenberg,7897,12926,2957,1273,135,3482,428,544,692,1005,656,2510
37,03,03355,Lüneburg,32992,37605,13819,6846,1144,20728,3087,3422,4372,5390,3465,10990
38,03,03356,Osterholz,12772,29165,7740,3980,579,10804,1540,1748,2206,3002,1835,7411
39,03,03357,Rotenburg (Wümme),17882,36480,13836,6247,1175,18387,2581,2698,3689,5284,3046,9732
40,03,03358,Heidekreis,19403,29831,10562,5638,1139,15578,2174,2437,3162,4269,2566,8141
41,03,03359,Stade,24749,48396,15568,7255,1133,22300,3497,3530,4730,5839,3766,13089
42,03,03360,Uelzen,14816,22344,6042,3185,407,8733,1178,1336,1777,2490,1418,5506
43,03,03361,Verden,16611,29710,10266,6396,843,15854,2459,2649,3305,4096,2582,8437
44,03,03401,Delmenhorst,12465,18645,4276,3289,371,8242,1515,1354,1660,2130,1399,4996
45,03,03402,Emden,9288,13046,2871,1363,146,4637,760,750,977,1225,804,3388
46,03,03403,Oldenburg,42082,39758,8086,4806,415,14332,2494,2393,2963,3699,2406,11781
47,03,03404,Osnabrück,44433,27458,9135,8463,786,19454,3458,3101,3995,5072,2978,9259
48,03,03405,Wilhelmshaven,22876,15589,3568,2723,103,7388,1345,1188,1512,1777,1267,4372
49,03,03451,Ammerland,13955,28999,11029,3928,649,13019,1768,1945,2614,3866,2203,7307
50,03,03452,Aurich,20477,59546,10472,3488,884,12497,1635,1768,2504,3903,2227,12731
51,03,03453,Cloppenburg,14384,21906,21863,8330,2384,27449,3905,3893,5364,8272,4241,6361
52,03,03454,Emsland,29935,53169,39393,13622,3195,48438,6978,6664,9390,14017,7472,15364
53,03,03455,Friesland,11831,30368,5425,2098,217,6915,942,1034,1435,1981,1268,6580
54,03,03456,Grafschaft Bentheim,13137,28568,13690,4922,1049,17061,2427,2545,3474,4922,2854,7688
55,03,03457,Leer,16962,46915,12887,4067,790,15388,2214,2287,3025,4634,2636,10777
56,03,03458,Oldenburg,12255,28634,11315,5386,957,14755,2049,2102,2965,4385,2485,7615
57,03,03459,Osnabrück,49441,52994,31970,21063,4143,48758,6934,7044,9760,14197,7829,15812
58,03,03460,Vechta,13601,19594,18308,6365,1643,23079,3429,3299,4523,6596,3687,5929
59,03,03461,Wesermarsch,11740,24509,5346,2574,293,7475,1116,1066,1463,2194,1379,5564
60,03,03462,Wittmund,6781,16719,3652,1197,172,3746,460,518,736,1209,701,3335
61,04,04011,Bremen,129093,111086,35121,22603,3872,62294,11316,10347,12631,16498,9781,34851
62,04,04012,Bremerhaven,30058,19248,7436,4322,928,12853,2275,2206,2720,3292,2078,5897
63,05,05111,Düsseldorf,188293,94747,32073,29158,5350,73159,14140,12797,15872,19035,10434,34657
64,05,05112,Duisburg,102085,81922,27091,31897,4566,67690,11959,10966,14089,17795,11038,28309
65,05,05113,Essen,150166,94718,28832,34469,3690,72172,12971,12112,14905,19410,11066,32289
66,05,05114,Krefeld,48903,43414,13093,11006,1409,27220,4600,4262,5757,7578,4473,13780
67,05,05116,Mönchengladbach,54367,52605,14196,12762,1555,30190,5160,4788,6234,8382,4955,17073
68,05,05117,Mülheim an der Ruhr,38108,29867,8803,10109,1191,21381,3738,3447,4667,5699,3381,9905
69,05,05119,Oberhausen,47681,35480,11175,13103,1230,27282,4704,4409,5777,7272,4377,12160
70,05,05120,Remscheid,22644,19570,6343,6413,870,14006,2345,2222,2855,3911,2302,6338
71,05,05122,Solingen,32203,29145,8807,9084,1167,19888,3224,3136,4115,5681,3319,9569
72,05,05124,Wuppertal,84003,56746,19175,20793,3029,45981,7926,7461,9720,12591,7223,19481
73,05,05154,Kleve,29276,64022,26330,13535,3670,39007,5801,5731,7969,11225,6267,18569
74,05,05158,Mettmann,93702,94525,29980,23236,3883,57276,9297,9143,12058,15949,9613,29499
75,05,05162,Rhein-Kreis Neuss,60988,87183,34872,21965,4393,59522,9659,9506,12511,16111,9704,28133
76,05,05166,Viersen,35121,68507,21661,12586,2197,34844,5363,5344,7114,9676,5992,20111
77,05,05170,Wesel,65638,92548,30756,23543,4162,55519,8542,8400,11283,15915,9098,27668
78,05,05314,Bonn,76495,56323,19232,16142,2853,38684,6655,6426,8355,10478,5936,19266
79,05,05315,Köln,246890,166265,65042,59055,13481,137856,25826,23477,28988,35143,20209,59362
80,05,05316,Leverkusen,30944,30542,9876,8833,1339,20737,3441,3395,4346,5711,3461,10189
81,05,05334,Aachen,99651,107825,34836,27460,4730,66037,10956,10356,13315,18001,10869,34436
82,05,05358,Düren,28063,57367,21779,11260,2020,33844,5445,5208,6983,9085,5483,16835
83,05,05362,Rhein-Erft-Kreis,61611,103415,32031,20890,4091,55713,9311,9098,11745,14887,9110,32066
84,05,05366,Euskirchen,17830,45568,15780,7285,1433,22912,3502,3515,4704,6359,3718,13171
85,05,05370,Heinsberg,20773,64135,20124,9116,1662,29360,4628,4586,6127,7656,5045,17660
86,05,05374,Oberbergischer Kreis,35286,55737,19686,13519,2399,33043,5153,5087,7053,9215,5419,16570
87,05,05378,Rheinisch-Bergischer Kreis,38677,60561,19767,13329,2153,34064,5107,5315,7151,9589,5809,18569
88,05,05382,Rhein-Sieg-Kreis,67526,125356,49198,26805,5225,77692,11971,12178,16427,21250,12626,38370
89,05,05512,Bottrop,23441,20428,6198,7567,818,15028,2403,2285,3047,4156,2584,6683
90,05,05513,Gelsenkirchen,60005,40888,13203,17343,1890,35582,6265,5762,7509,9534,5840,14104
91,05,05515,Münster,79288,53471,19640,13585,2583,34654,6238,5687,7144,8967,5164,17227
92,05,05554,Borken,33162,58841,39993,16278,6130,57642,8444,8196,11348,16991,9420,19128
93,05,05558,Coesfeld,20670,37999,20055,10468,3763,30900,4608,4542,5901,9139,5170,12113
94,05,05562,Recklinghausen,114670,119688,34622,33694,4267,73755,11946,11390,15237,20241,12467,37166
95,05,05566,Steinfurt,42753,73973,46970,19872,6690,66304,9747,9345,12900,19472,10918,23503
96,05,05570,Warendorf,30426,46727,24762,14297,4043,39700,5668,5741,7782,11724,6721,15169
97,05,05711,Bielefeld,70092,56293,20823,18331,2916,42190,7085,6612,8796,11820,6772,18823
98,05,05754,Gütersloh,44010,55234,32623,20551,5653,52941,7865,7688,10638,15952,8474,18279
99,05,05758,Herford,35317,49855,18746,12353,1996,30647,4691,4804,6358,8336,5086,15254
100,05,05762,Höxter,15303,26596,13430,6174,1353,19275,2688,2666,3836,5515,3176,8173
101,05,05766,Lippe,48840,65829,27615,16869,3390,45029,7072,7028,9543,12369,7335,20303
102,05,05770,Minden-Lübbecke,36640,56119,26687,15700,3624,40432,5924,5938,8205,11749,6370,16716
103,05,05774,Paderborn,47066,49225,26919,14832,4020,43016,6597,6628,8854,12192,6698,15610
104,05,05911,Bochum,92600,60612,17920,21353,2067,44288,7703,7106,9081,11719,7100,20768
105,05,05913,Dortmund,143448,97560,31013,33280,4173,73576,12949,12024,15020,19570,11705,33242
106,05,05914,Hagen,41230,29462,10874,11633,1855,25548,4290,4100,5269,6945,4356,10326
107,05,05915,Hamm,29828,32236,12875,9523,1510,23897,3700,3714,4878,6739,4063,10354
108,05,05916,Herne,39057,25979,7527,9551,914,19978,3326,3213,4117,5325,3532,8697
109,05,05954,Ennepe-Ruhr-Kreis,72510,57780,18356,17504,2085,38036,6238,6000,7799,10681,6173,18409
