,ags5,no of hairdressers,no of restraunts,no of branches,no of commertial units,no of shopping malls,no of clubs,no of slaughterhouse,no of education centers,no of shopping,no of free time,no of tourism points,no of food and drink,no of public institution,no of traffic centers,no of health centers,no of business
0,1001,82,131,361,5856,6,185,0,93,754,62,32,145,37,115,378,941
1,1002,213,343,621,14017,9,611,0,238,1543,173,62,393,107,185,1106,2189
2,1003,219,277,674,12357,14,491,2,162,1521,115,102,361,87,193,904,1921
3,1004,81,115,296,4639,7,120,1,57,616,50,14,126,34,109,272,762
4,1051,155,250,386,8984,3,248,5,110,1118,121,326,292,62,195,476,1375
5,1053,165,168,456,11296,1,383,13,128,1281,165,90,246,128,213,625,1871
6,1054,200,521,625,15149,0,420,8,163,1822,190,1132,564,110,327,718,2297
7,1055,215,440,590,13505,0,375,5,130,1701,183,687,411,128,249,834,2064
8,1056,277,346,754,18973,5,487,9,255,2247,181,106,397,102,335,961,3153
9,1057,112,182,323,7584,0,266,11,131,905,176,177,221,67,123,454,1281
10,1058,237,284,650,16222,11,494,9,227,1915,403,184,370,124,283,1015,2721
11,1059,162,243,552,13291,3,340,16,215,1468,272,197,312,99,290,713,2392
12,1060,237,270,683,17052,6,432,6,171,2056,199,84,313,91,294,844,3154
13,1061,113,167,327,8045,1,208,8,113,978,114,48,184,70,134,435,1319
14,1062,212,200,552,16807,1,430,6,142,1717,184,59,231,92,230,824,2731
15,2000,1521,2630,4108,151292,71,5845,1,1729,13152,730,401,2584,550,1466,7041,19260
16,3101,289,285,691,15114,9,778,1,341,1882,206,64,327,85,221,993,2195
17,3102,88,120,242,4127,2,235,4,91,629,68,27,104,37,97,353,626
18,3103,126,141,361,4972,3,300,1,128,649,85,44,160,25,80,388,731
19,3151,179,156,422,7640,0,323,7,177,1049,275,95,184,66,123,470,1332
20,3153,147,309,435,8660,2,435,4,185,1278,159,375,326,71,144,582,1425
21,3154,93,85,248,4262,0,229,4,105,613,101,41,97,37,73,293,675
22,3155,144,168,397,8008,1,373,13,170,1147,270,74,216,51,134,514,1428
23,3157,121,115,311,6764,1,224,5,177,917,119,24,134,49,116,388,1142
