ags5,kreis,total area,Residential area percentage,industrial / commertial area percentage,dump area percentage,mining area percentage,"open pit, mine, quarry area percentage",mixed use area percentage,special functional character land percentage,"sport, leisure, recreation area percentage",cemetry area percentage,road area percentage,space area percentage,rail traffic area percentage,air traffic area percentage,shipping area percentage,agri area percentage,forrest area percentage,wood area percentage,health area percentage,moor area percentage,swamp area percentage,without vegetation area percentage,flowing water percentage,harbor basin percentage,standing water percentage,sea percentage
1001,"Flensburg, Stadt",56.7,24.66,8.03,0.05,0.0,0.0,3.58,3.76,6.02,0.83,1.99,0.74,0.99,1.5,0.18,17.78,8.61,3.16,0.0,0.04,0.0,4.04,0.0,0.0,0.44,13.6
1002,"Kiel, Landeshauptstadt",118.7,24.15,6.88,0.0,0.0,0.0,2.9,5.09,9.82,0.71,2.96,0.9,0.79,0.94,1.06,21.31,8.92,2.36,0.0,0.3,0.73,1.6,1.27,0.3,1.05,5.93
1003,"Lübeck, Hansestadt",214.2,15.39,5.4,0.0,0.0,0.17,2.44,2.06,4.88,0.44,1.34,0.55,0.55,0.66,0.52,29.7,16.29,2.64,0.3,0.02,0.05,3.44,5.76,0.06,6.97,0.34
1004,"Neumünster, Stadt",71.7,23.64,9.93,0.0,0.0,0.0,4.33,2.67,5.49,0.63,1.1,0.77,0.68,0.54,0.0,36.18,6.12,1.62,0.0,2.5,0.0,1.82,0.01,0.0,1.96,0.0
1051,Dithmarschen,1428.2,3.14,0.91,0.0,0.0,0.1,3.33,0.29,0.55,0.07,0.26,0.07,0.09,0.03,0.04,79.47,3.99,0.62,0.0,1.44,0.05,2.11,2.55,0.04,0.76,0.06
1053,Herzogtum Lauenburg,1263.1,4.21,0.86,0.0,0.0,0.16,2.28,0.29,0.97,0.11,0.28,0.05,0.08,0.01,0.01,57.12,27.4,1.22,0.06,0.31,0.02,0.83,0.54,0.01,3.18,0.0
1054,Nordfriesland,2083.5,3.01,0.77,0.0,0.0,0.07,2.98,0.58,0.58,0.05,0.16,0.06,0.1,0.45,0.02,79.49,4.16,0.57,0.95,0.53,0.15,2.88,0.64,0.0,1.56,0.24
1055,Ostholstein,1393.0,4.28,0.69,0.0,0.0,0.19,2.68,0.5,1.61,0.08,0.39,0.13,0.06,0.01,0.03,71.61,10.63,1.28,0.03,0.38,0.07,1.91,0.02,0.0,2.67,0.75
1056,Pinneberg,664.3,9.96,2.32,0.01,0.0,0.36,4.0,0.94,2.05,0.19,0.37,0.13,0.13,0.19,0.04,62.43,8.02,1.64,0.0,0.56,0.09,1.82,3.79,0.01,0.6,0.38
1057,Plön,1083.6,3.53,0.47,0.0,0.0,0.14,2.66,0.54,1.03,0.06,0.22,0.06,0.02,0.0,0.0,67.2,12.14,1.09,0.04,0.36,0.16,1.03,0.13,0.0,9.0,0.12
1058,Rendsburg-Eckernförde,2189.8,3.39,0.81,0.0,0.0,0.29,2.92,0.43,1.04,0.08,0.46,0.06,0.09,0.13,0.01,69.92,12.5,1.18,0.08,1.5,0.09,1.35,0.67,0.0,2.08,0.92
1059,Schleswig-Flensburg,2071.3,2.87,0.87,0.0,0.0,0.27,3.48,0.41,0.53,0.05,0.24,0.05,0.03,0.28,0.0,75.78,7.15,0.88,0.0,1.24,0.02,0.96,0.2,0.0,0.73,3.95
1060,Segeberg,1344.5,4.66,1.38,0.0,0.0,0.7,2.99,0.67,1.26,0.07,0.43,0.09,0.05,0.06,0.0,65.58,17.5,1.14,0.03,0.99,0.02,0.92,0.01,0.0,1.42,0.0
1061,Steinburg,1055.7,3.31,1.13,0.0,0.0,0.61,3.51,0.25,0.5,0.08,0.34,0.05,0.06,0.13,0.02,73.3,9.37,0.97,0.09,0.39,0.15,1.07,4.21,0.0,0.45,0.0
1062,Stormarn,766.2,7.8,1.78,0.0,0.0,0.17,2.92,0.56,1.81,0.13,0.71,0.11,0.1,0.0,0.0,64.87,14.54,1.65,0.0,0.78,0.01,0.91,0.06,0.0,1.08,0.0
2000,Hamburg,755.1,21.27,8.17,0.0,0.0,0.03,1.8,2.51,6.89,0.87,0.98,0.3,0.77,0.97,0.01,18.34,4.42,2.0,0.27,0.33,0.17,0.92,4.83,0.0,0.77,23.4
3101,Braunschweig,192.7,17.13,7.53,0.04,0.0,0.03,3.03,2.96,7.32,0.51,1.37,0.67,1.13,0.96,0.01,39.05,12.56,1.41,0.04,0.02,0.0,2.6,0.52,0.03,1.11,0.0
3102,Salzgitter,224.5,8.13,7.99,0.31,0.04,0.16,2.79,0.7,2.61,0.31,0.78,0.43,0.3,0.24,0.01,52.85,16.26,1.25,0.0,0.0,0.0,2.74,0.33,0.03,1.75,0.0
3103,Wolfsburg,204.6,11.24,5.37,0.13,0.0,0.06,2.77,1.13,4.4,0.39,0.87,0.9,0.23,0.0,0.05,41.8,23.8,1.36,0.05,0.09,0.0,3.63,0.48,0.02,1.2,0.0
3151,Gifhorn,1567.6,2.91,0.73,0.0,0.0,0.37,2.31,0.19,0.77,0.07,0.12,0.06,0.07,0.03,0.0,53.09,35.26,0.56,0.72,0.94,0.0,1.09,0.27,0.0,0.45,0.0
3153,Goslar,966.7,3.43,1.37,0.09,0.0,0.23,1.56,0.37,0.91,0.12,0.26,0.12,0.14,0.02,0.0,29.88,56.89,0.99,0.06,0.46,0.0,1.81,0.01,0.0,1.29,0.0
3154,Helmstedt,676.1,2.97,1.09,0.03,0.02,1.16,2.45,0.25,0.85,0.11,0.29,0.09,0.11,0.02,0.0,62.13,24.75,0.97,0.0,0.06,0.0,2.0,0.0,0.0,0.66,0.0
3155,Northeim,1268.8,2.44,0.87,0.0,0.0,0.1,2.17,0.21,0.75,0.09,0.19,0.06,0.13,0.06,0.0,51.72,38.94,1.06,0.0,0.03,0.0,0.74,0.13,0.0,0.28,0.0
3157,Peine,536.5,5.67,2.45,0.03,0.0,0.26,3.49,0.37,1.07,0.13,0.2,0.15,0.13,0.06,0.01,72.32,9.3,1.2,0.01,0.06,0.0,1.37,0.31,0.02,1.4,0.0
3158,Wolfenbüttel,724.3,3.53,0.87,0.0,0.0,0.06,2.33,0.28,0.82,0.1,0.28,0.05,0.11,0.02,0.0,70.21,18.77,0.72,0.0,0.01,0.0,1.45,0.0,0.0,0.38,0.0
3159,Göttingen,1755.5,3.57,1.31,0.03,0.0,0.26,2.31,0.45,0.88,0.12,0.23,0.1,0.11,0.0,0.0,45.53,42.71,0.83,0.01,0.06,0.0,0.95,0.14,0.0,0.4,0.0
3241,Hannover,2297.1,7.51,2.75,0.12,0.03,0.63,2.83,0.88,2.62,0.27,0.54,0.32,0.3,0.39,0.0,54.47,19.55,0.83,0.09,2.36,0.0,1.25,0.31,0.01,1.94,0.0
3251,Diepholz,1991.0,3.01,1.25,0.0,0.0,0.76,3.64,0.21,0.53,0.06,0.24,0.04,0.11,0.08,0.0,73.96,9.69,0.36,0.11,4.32,0.0,0.62,0.09,0.0,0.91,0.0
3252,Hameln-Pyrmont,797.5,4.08,1.32,0.01,0.0,0.23,2.92,0.55,1.12,0.14,0.18,0.09,0.13,0.04,0.0,54.48,32.53,0.6,0.0,0.01,0.0,0.76,0.37,0.01,0.44,0.0
3254,Hildesheim,1208.4,4.54,1.59,0.02,0.01,0.28,2.8,0.4,1.17,0.15,0.31,0.11,0.2,0.05,0.0,60.88,24.42,0.81,0.0,0.01,0.0,1.45,0.18,0.0,0.62,0.0
3255,Holzminden,694.2,2.63,0.95,0.0,0.0,0.2,1.95,0.26,0.65,0.08,0.11,0.03,0.07,0.05,0.0,43.9,46.8,0.74,0.05,0.15,0.0,0.64,0.46,0.01,0.29,0.0
3256,Nienburg/Weser,1400.8,2.06,1.16,0.01,0.0,1.68,3.56,0.23,0.41,0.07,0.12,0.03,0.07,0.01,0.01,67.03,17.63,0.69,0.21,2.74,0.0,0.83,0.52,0.01,0.95,0.0
3257,Schaumburg,675.7,6.58,1.71,0.11,0.0,0.19,3.8,0.42,0.83,0.15,0.28,0.15,0.12,0.32,0.0,56.69,26.04,0.8,0.0,0.03,0.0,0.79,0.37,0.01,0.62,0.0
3351,Celle,1550.8,3.69,1.01,0.03,0.01,0.06,1.88,0.5,0.75,0.09,0.08,0.06,0.09,0.58,0.0,38.28,47.11,0.36,2.66,0.98,0.0,1.03,0.15,0.0,0.63,0.0
3352,Cuxhaven,2059.0,3.27,0.8,0.0,0.0,0.23,3.14,0.21,0.67,0.07,0.31,0.05,0.07,0.3,0.0,75.36,8.13,0.64,0.51,3.68,0.0,1.06,0.74,0.04,0.72,0.0
3353,Harburg,1248.5,6.43,1.16,0.01,0.0,0.26,2.7,0.31,1.73,0.09,0.38,0.11,0.36,0.01,0.0,53.04,28.88,0.57,1.3,0.45,0.0,0.98,0.61,0.01,0.62,0.0
3354,Lüchow-Dannenberg,1227.3,1.59,0.46,0.0,0.0,0.09,1.99,0.11,0.35,0.05,0.05,0.02,0.04,0.01,0.0,53.75,38.27,0.29,0.55,0.11,0.0,0.93,0.92,0.01,0.4,0.0
3355,Lüneburg,1327.8,3.94,0.91,0.01,0.0,0.1,1.91,0.38,1.01,0.1,0.14,0.07,0.09,0.02,0.01,53.32,33.39,0.79,0.75,0.19,0.0,1.2,1.14,0.02,0.53,0.0
3356,Osterholz,652.7,5.67,0.96,0.0,0.0,0.14,3.97,0.65,1.04,0.06,0.25,0.06,0.05,0.03,0.0,67.71,13.52,0.53,0.51,2.17,0.0,1.21,1.16,0.0,0.3,0.0
3357,Rotenburg (Wümme),2074.8,2.6,0.92,0.0,0.0,0.36,2.69,0.29,0.65,0.07,0.12,0.05,0.1,0.06,0.0,69.59,16.09,0.55,0.35,4.65,0.0,0.54,0.04,0.0,0.27,0.0
3358,Heidekreis,1881.5,2.37,0.83,0.01,0.0,0.1,1.86,0.58,0.81,0.06,0.15,0.12,0.07,0.03,0.0,41.16,42.13,0.35,6.16,1.31,0.0,1.26,0.18,0.0,0.45,0.0
3359,Stade,1267.4,3.94,1.48,0.0,0.0,0.52,3.36,0.28,0.56,0.1,0.23,0.04,0.07,0.01,0.0,72.86,7.02,0.74,0.05,1.68,0.0,1.5,5.12,0.0,0.43,0.0
3360,Uelzen,1462.6,1.98,0.51,0.0,0.0,0.07,1.92,0.19,0.51,0.06,0.06,0.03,0.1,0.02,0.0,54.78,36.99,0.41,1.04,0.3,0.0,0.64,0.22,0.0,0.18,0.0
3361,Verden,789.3,4.7,1.65,0.01,0.01,0.11,3.63,0.3,1.03,0.1,0.38,0.09,0.16,0.01,0.01,70.61,12.9,0.56,0.16,1.28,0.0,0.83,1.03,0.01,0.45,0.0
3401,Delmenhorst,62.5,26.73,6.23,0.0,0.0,0.0,5.49,3.24,2.93,0.51,1.04,0.35,0.34,0.0,0.0,46.32,2.42,0.77,0.0,0.03,0.0,2.64,0.35,0.0,0.61,0.0
3402,Emden,112.3,8.81,9.55,0.16,0.0,0.0,2.33,0.73,1.79,0.24,1.0,0.67,0.43,0.31,0.04,58.88,0.58,0.77,0.0,0.01,0.0,8.02,4.63,0.01,1.07,0.0
3403,Oldenburg,103.1,33.3,7.93,0.0,0.0,0.0,2.91,4.36,5.83,0.5,2.15,0.93,0.26,0.0,0.01,30.11,4.04,1.73,0.31,1.15,0.0,1.5,0.94,0.0,1.99,0.0
3404,Osnabrück,119.8,22.23,8.79,0.0,0.0,0.47,4.11,2.51,5.28,0.83,1.16,0.64,1.29,0.11,0.15,31.28,18.11,0.87,0.0,0.0,0.0,1.36,0.19,0.07,0.55,0.0
3405,Wilhelmshaven,107.1,13.33,13.88,0.0,0.0,0.0,3.13,3.33,5.11,0.35,1.18,0.55,0.19,0.01,1.32,39.47,3.57,0.56,0.0,0.0,0.0,9.46,1.97,0.97,1.62,0.03
