ags2,ags5,kreis,number_of_hairdressers,number_of_restaurants,number_of_shops,number_of_companies,number_of_shopping_malls,number_of_clubs,number_of_education_places,number_of_shopping_places,number_of_free_time_places,number_of_tourism_places,number_of_tourism_places,number_of_food_and_drink_places,number_of_public_institution_places,number_of_traffic_places,number_of_health_places,number_of_business_places
01,01001,"Flensburg, Stadt",82,131,361,5856,6,185,93,754,62,32,32,145,37,115,378,941
01,01002,"Kiel, Landeshauptstadt",213,343,621,14017,9,611,238,1543,173,62,62,393,107,185,1106,2189
01,01003,"Lübeck, Hansestadt",219,277,674,12357,14,491,162,1521,115,102,102,361,87,193,904,1921
01,01004,"Neumünster, Stadt",81,115,296,4639,7,120,57,616,50,14,14,126,34,109,272,762
01,01051,Dithmarschen,155,250,386,8984,3,248,110,1118,121,326,326,292,62,195,476,1375
01,01053,Herzogtum Lauenburg,165,168,456,11296,1,383,128,1281,165,90,90,246,128,213,625,1871
01,01054,Nordfriesland,200,521,625,15149,0,420,163,1822,190,1132,1132,564,110,327,718,2297
01,01055,Ostholstein,215,440,590,13505,0,375,130,1701,183,687,687,411,128,249,834,2064
01,01056,Pinneberg,277,346,754,18973,5,487,255,2247,181,106,106,397,102,335,961,3153
01,01057,Plön,112,182,323,7584,0,266,131,905,176,177,177,221,67,123,454,1281
01,01058,Rendsburg-Eckernförde,237,284,650,16222,11,494,227,1915,403,184,184,370,124,283,1015,2721
01,01059,Schleswig-Flensburg,162,243,552,13291,3,340,215,1468,272,197,197,312,99,290,713,2392
01,01060,Segeberg,237,270,683,17052,6,432,171,2056,199,84,84,313,91,294,844,3154
01,01061,Steinburg,113,167,327,8045,1,208,113,978,114,48,48,184,70,134,435,1319
01,01062,Stormarn,212,200,552,16807,1,430,142,1717,184,59,59,231,92,230,824,2731
02,02000,Hamburg,1521,2630,4108,151292,71,5845,1729,13152,730,401,401,2584,550,1466,7041,19260
03,03101,Braunschweig,289,285,691,15114,9,778,341,1882,206,64,64,327,85,221,993,2195
03,03102,Salzgitter,88,120,242,4127,2,235,91,629,68,27,27,104,37,97,353,626
03,03103,Wolfsburg,126,141,361,4972,3,300,128,649,85,44,44,160,25,80,388,731
03,03151,Gifhorn,179,156,422,7640,0,323,177,1049,275,95,95,184,66,123,470,1332
03,03153,Goslar,147,309,435,8660,2,435,185,1278,159,375,375,326,71,144,582,1425
03,03154,Helmstedt,93,85,248,4262,0,229,105,613,101,41,41,97,37,73,293,675
03,03155,Northeim,144,168,397,8008,1,373,170,1147,270,74,74,216,51,134,514,1428
03,03157,Peine,121,115,311,6764,1,224,177,917,119,24,24,134,49,116,388,1142
03,03158,Wolfenbüttel,131,106,285,6279,1,311,126,827,103,38,38,118,38,83,384,1065
03,03159,Göttingen,330,437,952,19409,3,967,505,2735,409,294,294,481,127,305,1483,3266
03,03241,Hannover,1098,1422,2891,70017,22,3292,1377,8438,881,345,345,1454,420,953,4216,12091
03,03251,Diepholz,242,279,679,15353,1,496,207,1911,353,80,80,315,79,248,716,2465
03,03252,Hameln-Pyrmont,202,219,462,9282,2,399,199,1406,131,146,146,252,58,131,672,1718
03,03254,Hildesheim,278,345,816,15575,3,709,384,2234,154,110,110,406,177,258,938,2895
03,03255,Holzminden,79,102,224,4157,0,118,87,656,106,47,47,118,26,73,267,769
03,03256,Nienburg/Weser,117,148,378,7708,0,301,163,964,228,75,75,170,57,148,391,1308
03,03257,Schaumburg,193,200,467,9453,0,371,162,1385,183,117,117,266,84,180,653,1914
03,03351,Celle,187,233,537,10756,0,557,209,1339,204,131,131,285,74,160,622,1731
03,03352,Cuxhaven,182,295,525,11440,0,375,269,1447,361,329,329,295,79,181,647,1725
03,03353,Harburg,272,230,607,16976,3,600,224,1994,231,138,138,340,93,232,833,2805
03,03354,Lüchow-Dannenberg,49,74,152,3349,0,259,84,426,109,82,82,100,17,63,224,453
03,03355,Lüneburg,194,196,465,11056,0,607,185,1348,177,121,121,227,84,149,786,1791
03,03356,Osterholz,111,131,295,6746,0,258,153,826,144,47,47,150,41,99,392,1071
03,03357,Rotenburg (Wümme),152,201,471,10933,0,327,208,1265,226,99,99,246,48,208,501,1665
