,ags2,ags5,kreis,median_income,purchasing_power_per_household,purchasing_power_per_person,debtor_quota,household_in_income_calss_1,household_in_income_calss_2,household_in_income_calss_3,household_in_income_calss_4,household_in_income_calss_5,household_in_income_calss_6
0,01,01001,"Flensburg, Stadt",2986,34496,19556,16.0,13209,12385,13092,5441,3096,3497
1,01,01002,"Kiel, Landeshauptstadt",3304,35246,19612,12.1,22126,38523,39483,18567,11162,7841
2,01,01003,"Lübeck, Hansestadt",3036,37219,20820,15.1,22881,30159,32571,15805,10999,9039
3,01,01004,"Neumünster, Stadt",2842,38141,19561,17.9,7208,13291,10435,3812,3201,2805
4,01,01051,Dithmarschen,2914,46945,23486,12.8,11806,11575,17816,9873,7834,7676
5,01,01053,Herzogtum Lauenburg,2832,49759,23969,10.1,9081,14562,25004,16206,13565,16539
6,01,01054,Nordfriesland,2768,50012,26306,9.8,7338,11367,25699,16935,12900,12744
7,01,01055,Ostholstein,2636,42842,23673,10.6,17821,18925,30089,17669,13301,13385
8,01,01056,Pinneberg,3036,51585,25212,9.5,16481,19262,37170,25675,21343,33667
9,01,01057,Plön,2771,47623,23578,8.9,7924,9749,16525,10947,8926,9566
10,01,01058,Rendsburg-Eckernförde,2945,49996,24224,9.4,14215,20916,34119,22373,19102,21338
11,01,01059,Schleswig-Flensburg,2715,48650,23438,10.6,11802,15545,25624,16131,13437,13715
12,01,01060,Segeberg,3031,50037,23672,9.8,13507,19466,33100,22928,18316,23195
13,01,01061,Steinburg,2991,45302,22124,12.2,10040,12173,16984,9413,7892,7580
14,01,01062,Stormarn,3023,54040,26041,7.6,8719,14100,26330,19186,17639,31158
15,02,02000,Hamburg,3619,46625,24879,10.5,43637,152776,259975,154457,143458,227898
16,03,03101,Braunschweig,3438,39986,22975,9.6,21381,33669,37071,20331,14641,15535
17,03,03102,Salzgitter,4085,38802,19956,13.2,8929,17776,14430,5084,3994,3740
18,03,03103,Wolfsburg,4622,46887,25277,7.7,10770,12628,16335,9236,7726,10215
19,03,03151,Gifhorn,3136,53918,24514,8.8,6743,11002,20565,14319,11945,15376
20,03,03153,Goslar,2858,37748,21527,12.5,23685,15221,23438,6882,4794,4090
