ags2,ags5,kreis,supermarkets_population,supermarkets_average_distance,public_transport availability,average_distance_bus_stop,average_distance_train_station,average_distance_public_transport
1,1001,"Flensburg, Stadt",92,500,35,240,2901,240
1,1002,"Kiel, Landeshauptstadt",92,460,37,268,2037,265
1,1003,"Lübeck, Hansestadt",90,532,37,297,1927,294
1,1004,"Neumünster, Stadt",85,588,37,316,1648,313
1,1051,Dithmarschen,51,1864,35,448,3517,443
1,1053,Herzogtum Lauenburg,63,1545,37,468,3308,456
1,1054,Nordfriesland,62,1445,34,792,3214,761
1,1055,Ostholstein,64,1336,35,545,3492,536
1,1056,Pinneberg,81,807,47,427,1902,415
1,1057,Plön,58,1686,35,461,3266,453
1,1058,Rendsburg-Eckernförde,60,1428,35,618,3176,559
1,1059,Schleswig-Flensburg,51,1755,28,757,4780,748
1,1060,Segeberg,68,1235,40,437,2318,418
1,1061,Steinburg,63,1428,36,495,3539,490
1,1062,Stormarn,65,1220,47,433,2853,425
2,2000,Hamburg,94,443,66,295,1181,280
3,3101,Braunschweig,94,449,55,388,3488,360
3,3102,Salzgitter,82,785,38,313,2044,311
3,3103,Wolfsburg,90,611,34,404,3496,404
3,3151,Gifhorn,57,1661,36,419,3672,410
3,3153,Goslar,73,998,36,356,3238,355
3,3154,Helmstedt,58,1704,33,370,4798,370
3,3155,Northeim,50,1893,36,390,3082,372
3,3157,Peine,63,1230,34,429,3700,428
3,3158,Wolfenbüttel,57,1612,40,431,2906,426
3,3159,Göttingen,67,1255,35,399,3345,394
3,3241,Hannover,86,639,49,440,2313,410
3,3251,Diepholz,57,1402,36,404,3496,401
3,3252,Hameln-Pyrmont,70,1119,37,280,3263,268
3,3254,Hildesheim,68,1059,38,357,2878,353
3,3255,Holzminden,63,1454,36,411,3593,410
3,3256,Nienburg/Weser,54,1608,27,452,5091,452
3,3257,Schaumburg,60,1267,35,414,3485,411
3,3351,Celle,69,1197,35,408,3577,405
3,3352,Cuxhaven,56,1625,34,440,3558,438
3,3353,Harburg,58,1347,36,482,3137,469
3,3354,Lüchow-Dannenberg,38,2960,31,589,4107,585
3,3355,Lüneburg,66,1366,36,447,3113,433
3,3356,Osterholz,53,1405,39,396,3578,391
3,3357,Rotenburg (Wümme),50,1920,34,453,3891,447
3,3358,Heidekreis,62,1539,36,381,2760,376
3,3359,Stade,68,1128,42,439,3217,437
3,3360,Uelzen,56,1780,36,351,2913,349
3,3361,Verden,62,1168,38,357,2744,350
3,3401,Delmenhorst,91,575,44,268,1888,267
3,3402,Emden,80,803,37,303,2332,303
3,3403,Oldenburg,92,511,35,324,2749,324
3,3404,Osnabrück,88,560,36,332,2440,330
3,3405,Wilhelmshaven,90,509,34,399,3606,395
3,3451,Ammerland,58,1368,32,406,4161,403
3,3452,Aurich,53,1457,28,447,4532,445
3,3453,Cloppenburg,59,1318,27,405,4931,404
3,3454,Emsland,63,1241,29,438,3602,435
3,3455,Friesland,63,1185,34,393,3294,356
3,3456,Grafschaft Bentheim,66,1149,36,340,2852,339
3,3457,Leer,55,1371,26,463,5005,460
3,3458,Oldenburg,55,1464,37,372,2618,371
3,3459,Osnabrück,64,1097,34,331,3532,330
3,3460,Vechta,64,1168,36,345,3458,340
3,3461,Wesermarsch,60,1305,36,367,2861,349
3,3462,Wittmund,50,1827,26,795,4263,524
4,4011,Bremen,95,440,61,371,1874,299
4,4012,Bremerhaven,92,477,37,302,1673,298
5,5111,Düsseldorf,94,423,75,290,816,241
5,5112,Duisburg,95,437,60,322,1822,294
5,5113,Essen,94,464,68,362,946,291
5,5114,Krefeld,89,558,66,364,1905,294
5,5116,Mönchengladbach,85,601,37,255,2001,253
5,5117,Mülheim an der Ruhr,91,553,68,292,1627,250
5,5119,Oberhausen,95,472,54,347,1568,337
5,5120,Remscheid,76,706,49,265,1477,262
5,5122,Solingen,88,580,50,241,1832,238
5,5124,Wuppertal,85,584,46,219,1463,214
5,5154,Kleve,69,1072,35,439,3278,431
5,5158,Mettmann,90,552,46,273,2110,272
5,5162,Rhein-Kreis Neuss,82,701,46,365,1664,347
5,5166,Viersen,77,752,37,401,3367,396
5,5170,Wesel,80,794,38,421,3144,414
5,5314,Bonn,93,458,66,296,1480,254
5,5315,Köln,96,409,65,337,1638,300
5,5316,Leverkusen,88,579,50,281,2033,278
5,5334,Aachen,84,675,37,350,2039,344
5,5358,Düren,62,1173,37,444,2541,428
5,5362,Rhein-Erft-Kreis,82,693,46,242,2701,239
5,5366,Euskirchen,51,1649,37,300,2890,297
5,5370,Heinsberg,62,1135,34,474,2939,467
5,5374,Oberbergischer Kreis,58,1198,30,354,4842,352
5,5378,Rheinisch-Bergischer Kreis,74,802,44,280,3710,277
5,5382,Rhein-Sieg-Kreis,69,1027,45,302,3059,293
5,5512,Bottrop,89,554,48,295,2281,292
5,5513,Gelsenkirchen,98,401,65,355,1619,290
5,5515,Münster,92,479,37,219,2193,218
5,5554,Borken,81,826,33,490,3543,481
5,5558,Coesfeld,77,884,36,388,2772,380
5,5562,Recklinghausen,90,583,42,344,2554,336
5,5566,Steinfurt,76,850,36,392,2969,389
5,5570,Warendorf,78,886,35,443,3290,419
5,5711,Bielefeld,87,599,67,350,1231,322
5,5754,Gütersloh,74,892,35,441,3727,431
5,5758,Herford,69,879,37,402,2939,399
5,5762,Höxter,58,1534,36,467,3356,465
5,5766,Lippe,67,1022,36,420,3357,405
5,5770,Minden-Lübbecke,59,1204,34,464,3541,462
5,5774,Paderborn,80,858,33,437,3736,435
5,5911,Bochum,91,502,66,345,1548,283
5,5913,Dortmund,91,495,68,249,958,228
5,5914,Hagen,87,584,38,254,1669,251
5,5915,Hamm,86,661,36,288,2547,287
5,5916,Herne,96,451,64,302,1288,288
5,5954,Ennepe-Ruhr-Kreis,76,786,45,325,2125,308
5,5958,Hochsauerlandkreis,64,1222,35,386,3351,378
5,5962,Märkischer Kreis,74,891,37,268,2258,266
5,5966,Olpe,59,1287,36,391,3222,384
5,5970,Siegen-Wittgenstein,62,1122,37,403,2394,371
5,5974,Soest,69,1095,34,446,3343,432
5,5978,Unna,81,746,44,320,1750,316
6,6411,Kreisfreie Stadt Darmstadt,92,457,69,308,1103,249
6,6412,Kreisfreie Stadt Frankfurt am Main,99,320,77,256,865,221
6,6413,Kreisfreie Stadt Offenbach am Main,99,321,63,231,1046,228
6,6414,Landeshauptstadt Wiesbaden,92,486,46,249,1713,246
6,6431,Bergstraße,73,939,40,335,1650,316
6,6432,Darmstadt-Dieburg,79,812,42,561,2267,478
