,ags5,kreis,Population - job density,rurality,# of middle centers,number of regional centers,Regional populational pothential
0,1001,"Flensburg, Stadt",2309.4,0.0,0,1,13724.8
1,1002,"Kiel, Landeshauptstadt",3112.1,0.0,0,1,22801.3
2,1003,"Lübeck, Hansestadt",1453.6,0.0,0,1,22491.1
3,1004,"Neumünster, Stadt",1644.7,0.0,0,1,26086.9
4,1051,Dithmarschen,121.9,74.2,2,0,11103.3
5,1053,Herzogtum Lauenburg,192.6,36.3,3,0,35798.8
6,1054,Nordfriesland,107.9,76.1,1,0,7571.4
7,1055,Ostholstein,196.4,31.5,1,0,14248.5
8,1056,Pinneberg,607.3,8.2,3,0,63951.7
9,1057,Plön,135.6,41.1,0,0,20895.5
10,1058,Rendsburg-Eckernförde,159.7,59.6,2,0,21612.1
11,1059,Schleswig-Flensburg,122.7,74.3,1,0,13392.4
12,1060,Segeberg,262.9,31.5,4,0,40897.1
13,1061,Steinburg,160.5,64.0,1,0,25043.0
14,1062,Stormarn,449.2,15.2,4,0,60121.8
15,2000,Hamburg,3685.3,0.0,0,1,33860.9
16,3101,Braunschweig,1950.4,0.0,0,1,29349.4
17,3102,Salzgitter,676.9,0.0,0,1,30081.6
18,3103,Wolfsburg,1186.8,0.0,0,1,20809.1
19,3151,Gifhorn,137.9,53.2,2,0,19593.0
20,3153,Goslar,188.3,8.7,4,0,18503.9
21,3154,Helmstedt,168.4,46.1,0,0,22366.2
22,3155,Northeim,140.2,69.7,4,0,19428.0
23,3157,Peine,306.9,16.1,1,0,37747.7
24,3158,Wolfenbüttel,200.0,45.7,1,0,29675.7
25,3159,Göttingen,259.6,18.5,3,1,19863.7
26,3241,Hannover,719.2,7.3,10,1,41283.4
27,3251,Diepholz,143.0,51.3,4,0,22530.1
28,3252,Hameln-Pyrmont,250.3,24.7,2,0,29962.4
29,3254,Hildesheim,303.8,24.3,2,1,33195.3
30,3255,Holzminden,133.7,51.1,1,0,21397.6
31,3256,Nienburg/Weser,114.3,74.0,1,0,21459.7
32,3257,Schaumburg,299.0,9.1,4,0,34347.7
33,3351,Celle,151.5,46.6,0,1,19381.7
34,3352,Cuxhaven,118.5,75.5,2,0,17065.9
35,3353,Harburg,250.7,26.6,3,0,45959.4
36,3354,Lüchow-Dannenberg,50.8,100.0,1,0,6978.2
37,3355,Lüneburg,180.4,35.9,0,1,20774.3
38,3356,Osterholz,212.4,25.5,1,0,35498.4
39,3357,Rotenburg (Wümme),105.4,86.7,3,0,21501.9
40,3358,Heidekreis,98.5,91.6,3,0,16666.2
41,3359,Stade,207.3,39.7,2,0,33085.4
42,3360,Uelzen,83.4,63.7,1,0,12408.2
43,3361,Verden,231.5,34.4,2,0,26050.1
44,3401,Delmenhorst,1570.5,0.0,1,0,47752.4
45,3402,Emden,753.0,0.0,1,0,15783.7
46,3403,Oldenburg,2409.1,0.0,0,1,25764.7
47,3404,Osnabrück,2145.9,0.0,0,1,33581.0
48,3405,Wilhelmshaven,990.4,0.0,0,1,13429.5
49,3451,Ammerland,226.3,27.6,3,0,23183.7
50,3452,Aurich,194.6,32.0,2,0,13801.2
51,3453,Cloppenburg,162.6,71.7,2,0,18563.5
52,3454,Emsland,158.2,60.9,3,0,19068.6
53,3455,Friesland,208.3,30.3,2,0,16137.1
54,3456,Grafschaft Bentheim,187.4,49.4,1,0,27958.4
55,3457,Leer,198.2,24.0,1,0,18459.5
56,3458,Oldenburg,154.6,60.9,1,0,29211.2
57,3459,Osnabrück,226.3,34.6,4,0,29879.2
58,3460,Vechta,257.8,29.6,2,0,20993.3
59,3461,Wesermarsch,143.2,45.7,2,0,24914.2
60,3462,Wittmund,110.1,100.0,1,0,12993.2
61,4011,Bremen,2578.6,0.0,0,1,27084.8
62,4012,Bremerhaven,1765.2,0.0,0,1,17004.8
63,5111,Düsseldorf,4721.4,0.0,0,1,139242.2
64,5112,Duisburg,2874.4,0.0,0,1,131087.8
65,5113,Essen,3917.8,0.0,0,1,155904.2
66,5114,Krefeld,2307.6,0.0,0,1,124896.7
67,5116,Mönchengladbach,2103.5,0.0,0,1,89313.9
68,5117,Mülheim an der Ruhr,2529.5,0.0,1,0,174292.5
69,5119,Oberhausen,3577.1,0.0,1,0,150666.2
70,5120,Remscheid,2086.4,0.0,1,0,121941.6
71,5122,Solingen,2355.5,0.0,1,0,152059.7
72,5124,Wuppertal,2841.0,0.0,0,1,139817.0
73,5154,Kleve,332.0,9.7,5,0,58170.0
74,5158,Mettmann,1646.1,0.0,10,0,170300.5
75,5162,Rhein-Kreis Neuss,1031.7,0.0,6,0,132514.9
76,5166,Viersen,688.7,0.0,6,0,90671.1
77,5170,Wesel,569.4,5.9,9,0,85169.6
78,5314,Bonn,3537.7,0.0,0,1,75450.1
79,5315,Köln,4034.0,0.0,0,1,95178.6
80,5316,Leverkusen,2867.1,0.0,1,0,151670.0
81,5334,Aachen,1080.3,4.9,7,1,56860.0
82,5358,Düren,366.7,11.6,2,0,66898.5
83,5362,Rhein-Erft-Kreis,859.6,0.0,9,0,104146.3
84,5366,Euskirchen,199.1,30.4,3,0,36186.5
85,5370,Heinsberg,513.7,0.0,6,0,75464.2
86,5374,Oberbergischer Kreis,409.2,0.0,5,0,69888.6
87,5378,Rheinisch-Bergischer Kreis,815.2,0.0,3,0,121517.7
88,5382,Rhein-Sieg-Kreis,654.5,0.0,11,0,76063.5
89,5512,Bottrop,1500.0,0.0,1,0,162390.1
90,5513,Gelsenkirchen,3226.6,0.0,1,0,152137.1
91,5515,Münster,1577.0,0.0,0,1,37480.5
92,5554,Borken,360.3,6.2,6,0,46122.8
93,5558,Coesfeld,257.4,17.1,3,0,56515.5
94,5562,Recklinghausen,1024.7,0.0,10,0,106200.3
95,5566,Steinfurt,335.1,14.5,7,0,35737.6
96,5570,Warendorf,278.4,22.2,4,0,45228.3
97,5711,Bielefeld,1869.0,0.0,0,1,43695.5
98,5754,Gütersloh,552.1,0.0,4,0,47704.0
99,5758,Herford,763.0,0.0,4,0,48345.0
100,5762,Höxter,154.6,57.1,6,0,20803.4
101,5766,Lippe,368.6,17.4,7,0,37836.0
102,5770,Minden-Lübbecke,379.5,17.3,6,0,31160.3
103,5774,Paderborn,338.2,17.5,2,1,30035.0
104,5911,Bochum,3402.2,0.0,0,1,153694.1
105,5913,Dortmund,2914.5,0.0,0,1,102714.7
106,5914,Hagen,1605.6,0.0,0,1,104858.6
107,5915,Hamm,1046.6,0.0,1,0,57123.1
108,5916,Herne,3904.5,0.0,1,0,154420.6
109,5954,Ennepe-Ruhr-Kreis,1050.5,0.0,8,0,141232.6
110,5958,Hochsauerlandkreis,186.3,67.6,7,0,24733.6
111,5962,Märkischer Kreis,540.3,1.7,8,0,67006.2
112,5966,Olpe,269.7,8.6,3,0,35282.9
113,5970,Siegen-Wittgenstein,346.3,14.4,4,1,27442.7
114,5974,Soest,309.2,18.8,5,0,38237.8
115,5978,Unna,956.4,0.0,7,0,90832.0
116,6411,Kreisfreie Stadt Darmstadt,2123.6,0.0,0,1,79369.0
117,6412,Kreisfreie Stadt Frankfurt am Main,5282.5,0.0,0,1,83893.6
118,6413,Kreisfreie Stadt Offenbach am Main,3877.7,0.0,0,1,107448.9
119,6414,Landeshauptstadt Wiesbaden,2024.1,0.0,0,1,70397.3
120,6431,Bergstraße,474.9,5.2,6,0,64742.2
121,6432,Darmstadt-Dieburg,562.6,0.0,5,0,70887.9
122,6433,Groß-Gerau,815.5,0.0,3,0,87193.3
123,6434,Hochtaunus,681.9,5.0,6,0,74921.2
124,6435,Main-Kinzig,394.5,13.3,7,1,37992.9
125,6436,Main-Taunus,1508.1,0.0,8,0,104007.7
126,6437,Odenwaldkreis,198.3,21.9,2,0,44455.3
127,6438,Offenbach,1330.4,0.0,10,0,96171.0
128,6439,Rheingau-Taunus,284.8,12.4,6,0,53425.1
129,6440,Wetterau,354.1,10.6,6,0,49623.6
130,6531,Gießen,423.6,10.2,4,1,34272.5
131,6532,Lahn-Dill,324.7,14.5,3,1,34047.2
132,6533,Limburg-Weilburg,303.7,12.1,2,0,40537.3
133,6534,Marburg-Biedenkopf,266.7,20.1,4,1,23100.5
134,6535,Vogelsberg,94.7,100.0,2,0,18729.6
135,6611,Kreisfreie Stadt Kassel,2909.2,0.0,0,1,26095.0
136,6631,Fulda,227.2,44.4,1,1,16226.4
137,6632,Hersfeld-Rotenburg,153.9,45.7,4,0,15267.1
138,6633,Kassel,239.8,24.5,4,0,25125.6
139,6634,Schwalm-Eder,152.4,50.3,5,0,18797.2
140,6635,Waldeck-Frankenberg,118.7,85.0,6,0,16780.6
141,6636,Werra-Meißner,125.9,74.2,4,0,18315.3
142,7111,Stadt Koblenz,1773.0,0.0,0,1,35224.4
143,7131,Ahrweiler,206.4,32.8,4,0,37639.6
144,7132,Altenkirchen (Ww),258.3,17.7,4,0,40240.0
145,7133,Bad Kreuznach,242.8,46.0,4,0,26719.0
146,7134,Birkenfeld,138.6,64.9,3,0,19686.5
147,7135,Cochem-Zell,116.6,100.0,2,0,18102.3
148,7137,Mayen-Koblenz,343.7,7.6,4,0,32009.6
149,7138,Neuwied,384.8,0.0,3,0,45849.6
150,7140,Rhein-Hunsrück-Kreis,141.4,85.2,4,0,22040.6
151,7141,Rhein-Lahn-Kreis,197.1,43.4,5,0,35790.9
152,7143,Westerwaldkreis,271.3,28.4,6,0,35318.2
153,7211,Stadt Trier,1411.5,0.0,0,1,20639.2
154,7231,Bernkastel-Wittlich,130.3,83.1,3,0,16314.0
155,7232,Eifelkreis Bitburg-Prüm,77.5,84.9,3,0,13070.3
156,7233,Vulkaneifel,87.9,100.0,2,0,15240.3
157,7235,Trier-Saarburg,162.3,59.5,3,0,23840.9
158,7311,Stadt Frankenthal (Pfalz),1480.1,0.0,1,0,74232.7
159,7312,Stadt Kaiserslautern,1090.7,0.0,0,1,26503.2
160,7313,Stadt Landau in der Pfalz,823.6,0.0,1,0,40792.2
161,7314,Stadt Ludwigshafen a. Rh.,3493.7,0.0,0,1,76802.5
162,7315,Stadt Mainz,3342.7,0.0,0,1,73994.4
163,7316,Stadt Neustadt a.d. W.,603.3,0.0,1,0,47414.8
164,7317,Stadt Pirmasens,995.7,0.0,1,0,24586.8
165,7318,Stadt Speyer,1872.4,0.0,1,0,68472.5
166,7319,Stadt Worms,1070.2,0.0,1,0,59792.1
167,7320,Stadt Zweibrücken,694.2,0.0,1,0,31980.3
168,7331,Alzey-Worms,268.1,19.3,1,0,52357.9
169,7332,Bad Dürkheim,275.9,9.2,3,0,48676.1
170,7333,Donnersbergkreis,150.0,82.4,3,0,34135.2
171,7334,Germersheim,373.0,14.0,3,0,50373.0
172,7335,Kaiserslautern,204.1,28.7,1,0,29764.9
173,7336,Kusel,145.0,58.7,2,0,25636.8
174,7337,Südliche Weinstraße,220.6,37.0,4,0,39521.9
175,7338,Rhein-Pfalz-Kreis,593.3,0.0,1,0,71021.8
176,7339,Mainz-Bingen,436.2,7.1,5,0,56228.5
177,7340,Südwestpfalz,115.9,100.0,1,0,26917.0
178,8111,Stuttgart,5007.1,0.0,0,1,84325.4
179,8115,Böblingen,917.0,0.0,4,0,75692.7
180,8116,Esslingen,1163.4,0.0,3,0,80386.7
181,8117,Göppingen,536.5,4.7,2,0,48815.4
182,8118,Ludwigsburg,1078.2,0.0,5,0,84278.5
183,8119,Rems-Murr-Kreis,667.4,4.0,4,0,66526.0
184,8121,Heilbronn,1959.9,0.0,0,1,53110.6
185,8125,Heilbronn,434.3,3.9,1,0,50749.0
186,8126,Hohenlohekreis,215.5,28.7,2,0,26872.8
187,8127,Schwäbisch Hall,185.4,48.7,2,0,23377.7
188,8128,Main-Tauber-Kreis,143.4,48.1,3,0,18529.1
189,8135,Heidenheim,291.2,18.5,1,0,26994.9
190,8136,Ostalbkreis,288.3,30.7,3,0,27540.4
191,8211,Baden-Baden,609.2,0.0,1,0,38695.7
192,8212,Karlsruhe,2815.2,0.0,0,1,51347.3
193,8215,Karlsruhe,548.2,1.1,3,0,61390.8
194,8216,Rastatt,434.2,2.1,4,0,42113.1
195,8221,Heidelberg,2312.2,0.0,0,1,63277.9
196,8222,Mannheim,3403.2,0.0,0,1,72396.4
197,8225,Neckar-Odenwald-Kreis,168.2,63.3,2,0,28901.3
198,8226,Rhein-Neckar-Kreis,674.4,0.0,6,0,62497.9
199,8231,Pforzheim,1855.8,0.0,0,1,59360.4
200,8235,Calw,255.1,25.1,3,0,47066.6
201,8236,Enzkreis,451.9,0.0,1,0,64709.9
202,8237,Freudenstadt,188.0,54.3,2,0,29506.4
203,8311,Freiburg im Breisgau,2304.7,0.0,0,1,33060.7
204,8315,Breisgau-Hochschwarzwald,249.1,30.2,5,0,33335.4
205,8316,Emmendingen,317.5,7.2,2,0,33266.2
206,8317,Ortenaukreis,323.7,16.1,6,1,35849.6
207,8325,Rottweil,252.8,26.3,2,0,27398.3
208,8326,Schwarzwald-Baar-Kreis,290.1,19.6,1,1,26477.4
209,8327,Tuttlingen,277.3,16.6,1,0,26836.3
210,8335,Konstanz,470.1,13.4,3,1,32964.5
211,8336,Lörrach,380.6,13.3,2,2,43618.8
212,8337,Waldshut,198.5,22.8,2,0,36234.4
213,8415,Reutlingen,364.3,18.0,2,1,41774.4
214,8416,Tübingen,587.0,0.0,1,1,54123.4
215,8417,Zollernalbkreis,278.5,27.6,3,0,30982.0
216,8421,Ulm,1849.9,0.0,0,1,29879.0
217,8425,Alb-Donau-Kreis,182.6,50.1,3,0,31393.9
218,8426,Biberach,199.0,47.7,3,0,23274.5
219,8435,Bodenseekreis,458.4,8.1,1,1,32383.4
220,8436,Ravensburg,244.3,39.0,3,2,24059.4
221,8437,Sigmaringen,146.9,70.3,3,0,23417.6
222,9161,Ingolstadt,1806.9,0.0,0,1,22756.4
223,9162,München,7423.1,0.0,0,1,54047.6
224,9163,Rosenheim,2647.0,0.0,0,1,27203.1
225,9171,Altötting,274.6,22.8,0,3,18815.0
226,9172,Berchtesgadener Land,167.0,35.3,2,2,17225.0
227,9173,Bad Tölz-Wolfratshausen,147.0,47.9,4,0,26684.6
228,9174,Dachau,334.6,20.6,1,0,63019.7
229,9175,Ebersberg,328.7,18.4,3,0,50852.0
230,9176,Eichstätt,141.0,60.7,2,0,20406.6
231,9177,Erding,207.6,51.1,2,1,38390.6
232,9178,Freising,323.6,28.4,3,1,42930.8
233,9179,Fürstenfeldbruck,614.9,3.4,2,0,64588.0
234,9180,Garmisch-Partenkirchen,115.1,76.3,3,1,13777.2
235,9181,Landsberg am Lech,194.2,51.9,1,0,32963.5
236,9182,Miesbach,154.9,43.7,8,0,25129.5
237,9183,Mühldorf a.Inn,191.6,44.6,0,2,22039.8
238,9184,München,859.5,6.4,1,0,83672.7
239,9185,Neuburg-Schrobenhausen,173.6,45.6,2,0,25533.9
240,9186,Pfaffenhofen a.d.Ilm,218.8,39.6,1,0,30751.0
241,9187,Rosenheim,236.8,31.7,3,0,25225.7
242,9188,Starnberg,378.1,2.7,1,0,58075.3
243,9189,Traunstein,158.3,59.9,2,1,18740.8
244,9190,Weilheim-Schongau,188.2,39.6,4,1,22521.6
245,9261,Landshut,1664.1,0.0,0,1,24316.5
246,9262,Passau,1297.5,0.0,0,1,15157.4
247,9263,Straubing,1138.9,0.0,0,1,15762.9
248,9271,Deggendorf,195.3,49.5,1,2,14540.2
249,9272,Freyung-Grafenau,104.6,100.0,3,0,10628.0
250,9273,Kelheim,149.8,40.7,4,0,21261.3
251,9274,Landshut,152.5,75.0,2,0,21492.1
252,9275,Passau,163.1,66.4,6,0,14809.5
253,9276,Regen,107.3,73.6,3,0,10923.6
254,9277,Rottal-Inn,123.8,63.6,4,0,15258.4
255,9278,Straubing-Bogen,105.0,86.8,2,0,16035.3
256,9279,Dingolfing-Landau,167.7,60.9,1,1,15556.3
257,9361,Amberg,1383.7,0.0,0,1,16491.6
258,9362,Regensburg,3372.5,0.0,0,1,21787.5
259,9363,Weiden i.d.OPf.,994.5,0.0,0,1,12762.7
260,9371,Amberg-Sulzbach,104.4,66.2,1,0,17096.2
261,9372,Cham,117.8,84.1,4,1,11484.1
262,9373,Neumarkt i.d.OPf.,134.7,64.2,4,1,20709.7
263,9374,Neustadt a.d.Waldnaab,87.5,79.1,6,0,12702.0
