ags5,car density,no of paths per person and day,kilometers per person and day, percentage out of home,share of journeys on foot,share of journeys on bike,proportion of motorised vehicle passenger,share of motorised vehicle driver,share of public transport ,public transport per 1000 inhabitants,activity index
1001,427,3.12269,36.0747,84.6,22.8,16.2,13.1,39.4,8.5,265.42865,63.534659188
1002,385,3.19762,33.8711,85.2,22.7,17.0,12.5,37.1,10.7,342.14534,61.518323052
1003,408,3.11096,33.1605,85.3,23.9,19.1,12.0,34.1,10.9,339.09463999999997,58.66421579
1004,464,3.11408,37.1178,84.7,21.2,15.6,13.3,41.8,8.1,252.24048,65.268576956
1051,572,3.0601700000000003,40.8078,83.9,19.2,10.3,14.8,48.4,7.3,223.39241,69.848878446
1053,552,3.0313,40.3404,85.1,20.7,10.9,14.1,44.0,10.3,312.2239,69.375706798
1054,573,3.1574299999999997,41.5371,85.2,20.3,12.7,13.7,46.7,6.5,205.23295,74.493475851
1055,581,3.12947,40.2907,84.2,22.2,9.6,14.2,48.2,5.8,181.50926,70.777698729
1056,507,3.1478200000000003,40.5312,85.3,19.9,15.4,13.2,40.9,10.7,336.81674,72.553292302
1057,585,3.15046,38.9928,84.8,21.2,10.0,13.9,45.1,9.8,308.74508,69.448518448
1058,590,3.19415,40.9486,84.4,17.7,13.8,15.3,47.1,6.0,191.649,73.59453284199999
1059,591,3.1196200000000003,42.9482,84.8,19.2,9.4,14.6,50.3,6.5,202.7753,75.744526669
1060,542,3.10011,40.4586,84.5,18.9,10.8,14.2,47.0,9.2,285.21012,70.656708885
1061,571,3.0616,39.1569,84.3,21.6,12.1,13.9,45.5,6.9,211.2504,67.374113952
1062,552,3.0937099999999997,43.1846,86.2,21.1,10.5,13.5,42.8,12.1,374.33891,76.775828055
2000,347,3.15409,36.9054,86.2,26.0,15.9,10.8,27.3,19.9,627.66391,66.89289704
3101,442,3.1729700000000003,36.2834,85.7,21.6,20.0,11.8,36.3,10.3,326.81591000000003,65.775401147
3102,492,3.00782,34.359,84.1,22.2,8.3,15.3,44.5,9.7,291.75854,57.942482058
3103,441,3.16437,43.3422,85.9,17.9,4.2,14.4,58.0,5.5,174.04035,78.54166707899999
3151,571,3.1499,42.721000000000004,85.7,18.0,13.1,14.2,46.8,7.9,248.8421,76.882542907
3153,539,3.13401,37.489000000000004,84.5,20.9,13.7,13.1,44.3,8.0,250.7208,66.186540835
3154,569,3.0954200000000003,37.9867,84.2,21.2,9.6,14.7,45.3,9.2,284.77864,66.004262633
3155,605,3.112,38.1472,84.8,21.2,10.0,14.1,47.1,7.7,239.62400000000002,67.113030178
3157,595,3.1598,40.0689,85.1,18.0,10.0,15.1,49.2,7.7,243.3046,71.829908931
3158,586,3.0786599999999997,39.5073,85.1,20.7,14.6,12.5,42.4,9.8,301.70867999999996,69.004494753
3159,515,3.01234,36.9513,82.9,22.9,8.5,13.9,45.7,9.1,274.12293999999997,61.517259816999996
3241,445,3.17963,37.3924,85.3,22.0,16.1,11.9,35.6,14.5,461.04635,67.611052854
3251,592,3.2138400000000003,42.9542,86.1,17.2,16.4,13.6,45.3,7.4,237.82416,79.239509597
3252,581,3.0756799999999997,36.129,83.5,21.4,7.3,16.0,47.9,7.5,230.676,61.85749178100001
3254,543,3.11096,35.8281,84.9,21.2,16.0,13.4,39.9,9.5,295.5412,63.086238861999995
3255,593,3.0386599999999997,38.074,83.9,21.0,8.8,14.7,47.9,7.6,230.93816,64.711477577
3256,583,3.0467299999999997,40.1025,84.1,17.0,12.2,14.6,49.6,6.6,201.08418,68.50308862899999
3257,597,3.16255,42.1033,85.3,18.6,10.7,15.8,47.3,7.5,237.19125,75.720122718
3351,565,3.0772,38.4571,84.8,17.3,14.8,14.5,45.5,7.8,240.0216,66.901653017
3352,599,3.2639400000000003,41.5263,85.3,15.2,13.5,14.9,50.0,6.4,208.89216000000002,77.076711289
3353,596,3.17646,44.481,86.1,17.7,10.6,14.2,46.9,10.6,336.70476,81.101675307
3354,594,3.04062,37.5983,83.3,20.1,11.6,13.9,47.0,7.4,225.00588,63.486896716000004
3355,508,3.19719,43.9627,85.1,20.0,13.9,15.7,41.8,8.7,278.15553,79.742730797
3356,600,3.14483,42.1722,85.1,17.7,14.6,14.4,45.0,8.3,261.02089,75.242242778
3357,596,3.23162,41.6819,86.0,17.2,16.1,13.2,47.2,6.3,203.59206,77.228035362
3358,582,3.09029,39.2971,84.0,19.6,12.4,14.8,44.0,9.2,284.30668,68.006083689
3359,566,3.18059,41.2656,85.0,20.1,13.8,14.2,43.6,8.3,263.98897,74.37440766600001
3360,572,3.14725,41.6896,84.5,19.4,11.7,14.4,46.8,7.6,239.19099999999997,73.913611061
3361,576,3.10866,41.6248,86.1,20.4,13.6,14.7,43.2,8.1,251.80146000000002,74.274079341
3401,500,3.10144,35.1249,84.9,18.5,14.3,14.9,43.6,8.7,269.82527999999996,61.658777738000005
3402,446,3.03175,36.6176,83.9,22.0,10.9,15.1,42.8,9.3,281.95275,62.094618655
3403,456,3.39974,40.5229,88.4,17.8,29.8,12.1,33.8,6.5,220.9831,81.190876304
3404,438,3.16473,37.2535,85.7,24.8,12.3,12.6,39.7,10.7,338.62611,67.35863972
3405,490,3.0668,33.6296,83.4,21.7,16.6,11.8,42.9,7.0,214.676,57.343203048
3451,588,3.1573,38.7925,85.0,16.4,12.2,14.1,50.6,6.7,211.5391,69.40508414199999
3452,564,2.98165,38.1078,84.1,19.3,13.6,14.8,44.3,8.0,238.532,63.705257662
3453,542,3.1531700000000003,38.0096,84.6,15.4,16.6,16.2,45.8,5.9,186.03703000000002,67.59581196399999
3454,554,3.05546,38.7638,84.1,16.1,15.9,14.3,47.2,6.5,198.6049,66.406055422
3455,619,3.15383,40.4776,84.9,17.2,13.1,14.0,49.8,5.9,186.07596999999998,72.255259572
3456,555,3.12823,40.4631,84.6,18.2,18.6,14.2,42.0,6.9,215.84787000000003,71.389926189
3457,564,3.06185,38.6118,84.8,18.0,15.4,15.1,44.9,6.6,202.0821,66.83570785100001
3458,587,3.19924,41.2,85.7,17.8,13.8,13.7,46.2,8.5,271.9354,75.306697077
3459,592,3.25126,40.8672,86.4,17.9,9.7,14.7,51.5,6.3,204.82938000000001,76.533058179
3460,548,3.23813,40.9916,85.9,18.6,14.5,14.9,44.8,7.2,233.14536,76.01355694600001
3461,563,3.17401,38.6596,85.0,17.5,12.1,13.4,48.0,9.0,285.6609,69.533375631
3462,594,3.05863,38.8475,83.8,20.1,9.5,15.3,47.5,7.6,232.45587999999998,66.38084535899999
4011,368,3.24415,35.3114,86.1,24.7,22.0,11.0,28.3,13.9,450.93685,65.75484455
4012,394,3.19191,34.4661,85.6,23.0,14.1,14.1,38.5,10.3,328.76673,62.78057466600001
5111,371,3.20909,40.6097,86.0,27.5,13.5,11.1,31.0,16.9,542.3362099999999,74.716904446
5112,424,2.93293,34.5589,83.7,23.6,11.2,15.5,38.5,11.1,325.55523,56.558229694
5113,431,3.1673,32.5589,84.0,28.6,7.0,12.3,40.2,11.8,373.7414,57.749330223
5114,467,3.21192,38.4506,84.6,22.9,16.0,12.7,38.6,9.9,317.98008,69.65414165
5116,474,3.10384,37.0874,84.7,23.8,10.8,12.8,40.3,12.3,381.77232000000004,65.000674805
5117,493,3.07439,38.3772,84.7,25.1,6.6,13.7,43.2,11.4,350.48046,66.62303232100001
5119,486,3.07944,37.4133,83.1,20.5,9.9,14.4,44.1,11.1,341.81784,63.827454954
5120,493,2.9950099999999997,37.5169,82.1,24.4,5.5,14.3,43.8,12.0,359.4012,61.500283893
5122,512,3.18113,39.5851,86.3,23.1,7.5,13.5,43.9,12.1,384.91673,72.449050885
