,ags2,ags5,kreis,number_of_students
0,01,01001,"Flensburg, Stadt",11610
1,01,01002,"Kiel, Landeshauptstadt",23898
2,01,01003,"Lübeck, Hansestadt",20478
3,01,01004,"Neumünster, Stadt",10380
4,01,01051,Dithmarschen,13158
5,01,01053,Herzogtum Lauenburg,19320
6,01,01054,Nordfriesland,16341
7,01,01055,Ostholstein,18558
8,01,01056,Pinneberg,33948
9,01,01057,Plön,11607
10,01,01058,Rendsburg-Eckernförde,26316
11,01,01059,Schleswig-Flensburg,19074
12,01,01060,Segeberg,28413
13,01,01061,Steinburg,12615
14,01,01062,Stormarn,26823
15,02,02000,Hamburg,196587
16,03,03101,Braunschweig,25564
17,03,03102,Salzgitter,11084
18,03,03103,Wolfsburg,15140
19,03,03151,Gifhorn,17463
20,03,03153,Goslar,11703
21,03,03154,Helmstedt,7781
22,03,03155,Northeim,13099
23,03,03157,Peine,14653
24,03,03158,Wolfenbüttel,10958
25,03,03159,Göttingen,30186
26,03,03241,Hannover,121418
27,03,03251,Diepholz,22398
28,03,03252,Hameln-Pyrmont,14964
29,03,03254,Hildesheim,28601
30,03,03255,Holzminden,5331
31,03,03256,Nienburg/Weser,12533
32,03,03257,Schaumburg,15656
33,03,03351,Celle,19015
34,03,03352,Cuxhaven,20367
35,03,03353,Harburg,27658
36,03,03354,Lüchow-Dannenberg,5120
37,03,03355,Lüneburg,20019
38,03,03356,Osterholz,11735
39,03,03357,Rotenburg (Wümme),17604
40,03,03358,Heidekreis,14933
41,03,03359,Stade,22117
42,03,03360,Uelzen,8615
43,03,03361,Verden,14898
44,03,03401,Delmenhorst,8263
45,03,03402,Emden,5488
46,03,03403,Oldenburg,19129
47,03,03404,Osnabrück,19807
48,03,03405,Wilhelmshaven,7071
49,03,03451,Ammerland,12928
50,03,03452,Aurich,19867
51,03,03453,Cloppenburg,20263
52,03,03454,Emsland,35945
53,03,03455,Friesland,9293
54,03,03456,Grafschaft Bentheim,14950
55,03,03457,Leer,17087
56,03,03458,Oldenburg,12826
57,03,03459,Osnabrück,34642
58,03,03460,Vechta,17212
59,03,03461,Wesermarsch,9226
60,03,03462,Wittmund,5951
61,04,04011,Bremen,54442
62,04,04012,Bremerhaven,12496
63,05,05111,Düsseldorf,61243
64,05,05112,Duisburg,52132
65,05,05113,Essen,60584
66,05,05114,Krefeld,25444
67,05,05116,Mönchengladbach,28525
68,05,05117,Mülheim an der Ruhr,18112
69,05,05119,Oberhausen,20303
70,05,05120,Remscheid,12817
71,05,05122,Solingen,16859
72,05,05124,Wuppertal,38690
73,05,05154,Kleve,30735
74,05,05158,Mettmann,51091
75,05,05162,Rhein-Kreis Neuss,50091
76,05,05166,Viersen,31903
77,05,05170,Wesel,47652
78,05,05314,Bonn,40749
79,05,05315,Köln,108502
80,05,05316,Leverkusen,18806
81,05,05334,Aachen,56125
82,05,05358,Düren,27128
83,05,05362,Rhein-Erft-Kreis,51005
84,05,05366,Euskirchen,21612
85,05,05370,Heinsberg,26884
86,05,05374,Oberbergischer Kreis,32007
87,05,05378,Rheinisch-Bergischer Kreis,30139
88,05,05382,Rhein-Sieg-Kreis,65104
89,05,05512,Bottrop,11341
90,05,05513,Gelsenkirchen,29994
91,05,05515,Münster,32885
92,05,05554,Borken,42261
93,05,05558,Coesfeld,24456
94,05,05562,Recklinghausen,63393
95,05,05566,Steinfurt,50003
96,05,05570,Warendorf,31241
97,05,05711,Bielefeld,39008
98,05,05754,Gütersloh,41793
99,05,05758,Herford,28418
100,05,05762,Höxter,16380
101,05,05766,Lippe,38732
102,05,05770,Minden-Lübbecke,36995
103,05,05774,Paderborn,34625
104,05,05911,Bochum,36207
