_id,ags2,bundesland,ags5,kreis,kr_ein_md,kr_schu_qu,kr_hh_eink_kl1,kr_hh_eink_kl2,kr_hh_eink_kl3,kr_hh_eink_kl4,kr_hh_eink_kl5,kr_hh_eink_kl6,kr_kk_hh,kr_kk_ew
1,01,Schleswig-Holstein,01001,"Flensburg, Stadt",2986,16.0,13209,12385,13092,5441,3096,3497,34496,19556
2,01,Schleswig-Holstein,01002,"Kiel, Landeshauptstadt",3304,12.1,22126,38523,39483,18567,11162,7841,35246,19612
3,01,Schleswig-Holstein,01003,"Lübeck, Hansestadt",3036,15.1,22881,30159,32571,15805,10999,9039,37219,20820
4,01,Schleswig-Holstein,01004,"Neumünster, Stadt",2842,17.9,7208,13291,10435,3812,3201,2805,38141,19561
5,01,Schleswig-Holstein,01051,Dithmarschen,2914,12.8,11806,11575,17816,9873,7834,7676,46945,23486
6,01,Schleswig-Holstein,01053,Herzogtum Lauenburg,2832,10.1,9081,14562,25004,16206,13565,16539,49759,23969
7,01,Schleswig-Holstein,01054,Nordfriesland,2768,9.8,7338,11367,25699,16935,12900,12744,50012,26306
8,01,Schleswig-Holstein,01055,Ostholstein,2636,10.6,17821,18925,30089,17669,13301,13385,42842,23673
9,01,Schleswig-Holstein,01056,Pinneberg,3036,9.5,16481,19262,37170,25675,21343,33667,51585,25212
10,01,Schleswig-Holstein,01057,Plön,2771,8.9,7924,9749,16525,10947,8926,9566,47623,23578
11,01,Schleswig-Holstein,01058,Rendsburg-Eckernförde,2945,9.4,14215,20916,34119,22373,19102,21338,49996,24224
12,01,Schleswig-Holstein,01059,Schleswig-Flensburg,2715,10.6,11802,15545,25624,16131,13437,13715,48650,23438
13,01,Schleswig-Holstein,01060,Segeberg,3031,9.8,13507,19466,33100,22928,18316,23195,50037,23672
14,01,Schleswig-Holstein,01061,Steinburg,2991,12.2,10040,12173,16984,9413,7892,7580,45302,22124
15,01,Schleswig-Holstein,01062,Stormarn,3023,7.6,8719,14100,26330,19186,17639,31158,54040,26041
16,02,Hamburg,02000,Hamburg,3619,10.5,43637,152776,259975,154457,143458,227898,46625,24879
17,03,Niedersachsen,03101,Braunschweig,3438,9.6,21381,33669,37071,20331,14641,15535,39986,22975
18,03,Niedersachsen,03102,Salzgitter,4085,13.2,8929,17776,14430,5084,3994,3740,38802,19956
19,03,Niedersachsen,03103,Wolfsburg,4622,7.7,10770,12628,16335,9236,7726,10215,46887,25277
20,03,Niedersachsen,03151,Gifhorn,3136,8.8,6743,11002,20565,14319,11945,15376,53918,24514
21,03,Niedersachsen,03153,Goslar,2858,12.5,23685,15221,23438,6882,4794,4090,37748,21527
22,03,Niedersachsen,03154,Helmstedt,2720,11.1,8646,8558,14056,6009,4791,5498,45606,23764
23,03,Niedersachsen,03155,Northeim,2931,10.7,10314,14329,24604,8474,5636,4849,44538,22890
24,03,Niedersachsen,03157,Peine,2946,10.3,9548,12740,18016,9920,7520,8395,45074,22263
25,03,Niedersachsen,03158,Wolfenbüttel,2979,9.1,9901,13164,15605,8616,6731,7065,44986,22912
26,03,Niedersachsen,03159,Göttingen,3128,9.5,30549,37811,51518,25572,17247,13509,39828,21398
27,03,Niedersachsen,03241,Hannover,3387,11.5,86658,118256,154892,91374,69094,79207,42502,22017
28,03,Niedersachsen,03251,Diepholz,2822,9.4,10360,15654,28510,16818,13617,15661,52131,24199
29,03,Niedersachsen,03252,Hameln-Pyrmont,3142,12.8,16158,17370,23924,9298,6409,6382,42048,22526
30,03,Niedersachsen,03254,Hildesheim,3044,10.8,24117,32825,42133,18762,12782,12555,42042,21771
31,03,Niedersachsen,03255,Holzminden,3132,12.2,6234,7586,13727,4229,2782,1905,42852,22029
32,03,Niedersachsen,03256,Nienburg/Weser,2866,10.9,6098,11973,18349,8555,6125,5419,46904,21855
33,03,Niedersachsen,03257,Schaumburg,2880,11.7,15334,16373,23924,10998,8028,7638,42889,22378
34,03,Niedersachsen,03351,Celle,3154,11.9,13836,17452,22786,13066,10059,9656,44016,21382
35,03,Niedersachsen,03352,Cuxhaven,2768,10.8,20240,18312,25462,14170,11171,11127,44759,22702
36,03,Niedersachsen,03353,Harburg,2718,7.9,12025,13970,26653,19967,17979,30964,54632,26283
37,03,Niedersachsen,03354,Lüchow-Dannenberg,2700,11.7,5085,5620,7977,2859,2033,1598,41803,21743
38,03,Niedersachsen,03355,Lüneburg,2890,9.4,11861,14718,25843,15915,11179,13168,42377,21427
39,03,Niedersachsen,03356,Osterholz,2737,8.5,7505,7312,13644,9278,7656,8965,49123,23539
40,03,Niedersachsen,03357,Rotenburg (Wümme),2850,9.3,8485,12921,20909,12437,9918,10907,50440,23335
41,03,Niedersachsen,03358,Heidekreis,2892,10.9,10181,12859,18850,9857,7790,6985,45141,21510
42,03,Niedersachsen,03359,Stade,3098,9.3,12968,13664,24920,15934,12883,16732,49126,23501
43,03,Niedersachsen,03360,Uelzen,2766,11.8,9121,10258,13300,5772,4282,4057,43238,21868
44,03,Niedersachsen,03361,Verden,2926,8.9,6651,8762,17342,11275,9137,10620,52052,24287
45,03,Niedersachsen,03401,Delmenhorst,2815,15.3,6433,11650,9396,4824,3543,3182,39104,19674
46,03,Niedersachsen,03402,Emden,3562,13.8,7726,6939,5305,2696,2029,2000,36332,19336
47,03,Niedersachsen,03403,Oldenburg,3152,10.5,24629,15593,21666,12694,10583,10848,35389,20204
48,03,Niedersachsen,03404,Osnabrück,3245,11.0,13092,21087,26689,13098,7924,8508,38722,21255
49,03,Niedersachsen,03405,Wilhelmshaven,3169,17.1,18058,10802,8472,2839,2440,2326,32000,18858
50,03,Niedersachsen,03451,Ammerland,2809,8.3,9769,7471,13496,9301,8062,10457,49174,23222
51,03,Niedersachsen,03452,Aurich,2785,10.7,15731,15839,26502,15098,12357,9388,42639,21330
52,03,Niedersachsen,03453,Cloppenburg,2609,9.2,6208,9094,19835,12759,11119,9794,53390,21712
53,03,Niedersachsen,03454,Emsland,2972,8.8,17624,20068,36985,23759,20733,20003,53073,22704
54,03,Niedersachsen,03455,Friesland,2898,10.1,10841,8038,12616,7128,5755,5533,42507,21564
55,03,Niedersachsen,03456,Grafschaft Bentheim,2833,8.7,9705,9217,15785,9813,8461,8339,47040,21146
56,03,Niedersachsen,03457,Leer,2761,10.6,12969,14613,23163,13126,10513,7188,42038,20206
57,03,Niedersachsen,03458,Oldenburg,2720,8.5,5865,7085,14305,10574,9235,11445,53070,23878
58,03,Niedersachsen,03459,Osnabrück,2808,8.4,11204,21906,48208,32614,22600,23152,53472,23911
59,03,Niedersachsen,03460,Vechta,2821,8.1,6449,6512,14386,10322,9279,12525,56531,23759
60,03,Niedersachsen,03461,Wesermarsch,3428,11.3,8206,9085,12059,5835,4791,4459,44210,22179
61,03,Niedersachsen,03462,Wittmund,2685,10.5,4608,4895,8463,4563,3200,2771,43967,22044
62,04,Bremen,04011,Bremen,3445,12.6,59175,78675,63950,37466,29350,35163,41817,22315
63,04,Bremen,04012,Bremerhaven,3196,20.8,16326,17422,18421,4527,3048,2769,34545,19017
64,05,Nordrhein-Westfalen,05111,Düsseldorf,3882,12.1,12281,52467,106706,68575,47808,62774,46609,26391
65,05,Nordrhein-Westfalen,05112,Duisburg,3467,17.1,44493,94709,54498,23607,16187,14567,34724,17278
66,05,Nordrhein-Westfalen,05113,Essen,3451,13.8,49591,99262,77648,34149,23980,27543,38708,20727
67,05,Nordrhein-Westfalen,05114,Krefeld,3423,15.1,17179,31534,32633,13028,10206,13948,42210,22043
68,05,Nordrhein-Westfalen,05116,Mönchengladbach,3047,16.1,16167,39186,40323,17329,10981,11734,40813,21191
69,05,Nordrhein-Westfalen,05117,Mülheim an der Ruhr,3523,11.6,6317,20933,28524,12404,8700,11327,45646,23565
70,05,Nordrhein-Westfalen,05119,Oberhausen,3272,15.2,14415,36352,31468,12419,7558,6466,36841,18994
71,05,Nordrhein-Westfalen,05120,Remscheid,3323,13.9,4306,12784,20075,8365,5310,5066,45702,23023
72,05,Nordrhein-Westfalen,05122,Solingen,3085,14.6,6947,16012,24465,14286,9122,9796,47207,23890
73,05,Nordrhein-Westfalen,05124,Wuppertal,3379,18.4,15792,50115,69941,21314,13647,13514,41402,21538
74,05,Nordrhein-Westfalen,05154,Kleve,2882,10.4,19154,21098,35877,22797,19256,18586,48771,21462
75,05,Nordrhein-Westfalen,05158,Mettmann,3473,10.3,16178,43050,73213,39881,29307,44077,51530,26076
76,05,Nordrhein-Westfalen,05162,Rhein-Kreis Neuss,3446,10.5,6699,28544,61174,39395,30402,43540,55797,25956
77,05,Nordrhein-Westfalen,05166,Viersen,2969,10.3,18111,22636,35671,22456,17932,23366,50575,23724
78,05,Nordrhein-Westfalen,05170,Wesel,3047,10.0,27482,39420,57387,35107,27106,30331,47985,22637
79,05,Nordrhein-Westfalen,05314,Bonn,3857,8.9,9013,25615,50756,35738,23907,27088,45203,23779
80,05,Nordrhein-Westfalen,05315,Köln,3696,11.7,26970,91707,151147,98274,87897,99312,44374,22699
81,05,Nordrhein-Westfalen,05316,Leverkusen,4170,11.7,5048,18138,26685,12911,8470,10372,44332,22091
82,05,Nordrhein-Westfalen,05334,Aachen,3365,11.1,29589,59138,88769,43114,27005,28292,42356,21044
83,05,Nordrhein-Westfalen,05358,Düren,3236,11.9,13125,24495,34425,19276,15250,13897,47523,21717
84,05,Nordrhein-Westfalen,05362,Rhein-Erft-Kreis,3188,11.3,26128,31526,57268,39026,29931,38925,48706,23091
85,05,Nordrhein-Westfalen,05366,Euskirchen,3079,11.0,10866,14753,23472,14795,11913,12099,49058,22372
86,05,Nordrhein-Westfalen,05370,Heinsberg,2926,11.6,19671,18998,28414,17881,15565,15238,45921,20911
87,05,Nordrhein-Westfalen,05374,Oberbergischer Kreis,3320,10.3,9509,21452,39045,24025,16998,15806,51133,23811
88,05,Nordrhein-Westfalen,05378,Rheinisch-Bergischer Kreis,3192,9.0,7295,15898,34371,24527,20426,31991,56698,26913
89,05,Nordrhein-Westfalen,05382,Rhein-Sieg-Kreis,3082,8.8,22978,32952,69053,50517,40896,57744,53513,24467
90,05,Nordrhein-Westfalen,05512,Bottrop,3149,11.8,6117,13981,18512,9025,5672,5149,41789,20815
91,05,Nordrhein-Westfalen,05513,Gelsenkirchen,3242,18.0,17965,56289,38230,10646,5873,4605,32368,16594
92,05,Nordrhein-Westfalen,05515,Münster,3432,8.4,9565,30105,49710,28864,23444,28050,44714,24153
93,05,Nordrhein-Westfalen,05554,Borken,3091,8.6,12650,20870,42240,28978,24208,25828,55761,23297
94,05,Nordrhein-Westfalen,05558,Coesfeld,3000,7.2,6482,11043,23776,17631,14924,19118,57866,24482
95,05,Nordrhein-Westfalen,05562,Recklinghausen,3127,13.0,38584,80000,90240,42519,28057,27690,41875,20907
96,05,Nordrhein-Westfalen,05566,Steinfurt,2976,8.8,17793,26307,52773,36873,28353,28193,53984,22960
97,05,Nordrhein-Westfalen,05570,Warendorf,3201,8.9,8721,19339,33849,21832,17211,19249,55555,24050
