ags5,date,ground_truth,pred,error
1001,2019-01-31,8.2,7.7784963000000005,0.4215037345886224
1001,2019-02-28,7.8,7.84881,0.04881019592285174
1001,2019-03-31,7.8,7.825788,0.025788021087646662
1001,2019-04-30,7.6,7.5664835,0.03351650238037074
1001,2019-05-31,7.7,7.3689027000000005,0.33109731674194354
1001,2019-06-30,7.7,7.343967999999999,0.3560320854187013
1001,2019-07-31,8.1,7.1431837,0.9568162918090816
1001,2019-08-31,8.3,7.114399400000001,1.1856005668640144
1001,2019-09-30,8.3,7.0895658,1.2104342460632331
1001,2019-10-31,8.1,6.721839999999999,1.3781600952148434
1001,2019-11-30,8.0,6.756373,1.2436270713806152
1001,2019-12-31,7.9,7.001636,0.8983639717102054
1001,2020-01-31,8.4,7.8851557,0.5148443222045902
1001,2020-02-29,8.4,7.723935000000001,0.6760648727416996
1001,2020-03-31,8.2,7.652705,0.5472948074340813
1001,2020-04-30,9.3,7.7835083,1.5164916992187507
1001,2020-05-31,9.9,7.618798,2.2812022209167484
1001,2020-06-30,9.8,7.641032000000001,2.1589677810668952
1001,2020-07-31,10.0,8.824433,1.1755666732788086
1001,2020-08-31,9.6,8.549017,1.0509830474853512
1001,2020-09-30,9.1,8.424878999999999,0.6751209259033201
1001,2020-10-31,8.7,8.56048,0.13951988220214773
1001,2020-11-30,8.7,8.296103500000001,0.403896522521972
1001,2020-12-31,8.8,8.352069,0.44793109893798905
1001,2021-01-31,9.4,8.376682,1.0233177185058595
1001,2021-02-28,9.2,8.209344,0.990656089782714
1001,2021-03-31,9.1,8.251762,0.8482376098632809
1001,2021-04-30,9.1,8.971039999999999,0.12896022796630824
1001,2021-05-31,8.9,9.153947,0.2539468765258785
1002,2019-01-31,7.9,8.001365,0.101364707946777
1002,2019-02-28,7.7,8.069235,0.3692348480224608
1002,2019-03-31,7.8,8.164816,0.3648159027099611
1002,2019-04-30,7.6,7.7793529999999995,0.17935314178466832
1002,2019-05-31,7.7,7.6749177,0.02508230209350604
1002,2019-06-30,7.6,7.7917128,0.19171276092529327
1002,2019-07-31,7.8,7.771785700000001,0.02821426391601545
1002,2019-08-31,7.8,7.786042,0.013957786560058416
1002,2019-09-30,7.4,7.6125183000000005,0.21251831054687464
1002,2019-10-31,7.4,7.3243537,0.07564630508422887
1002,2019-11-30,7.2,7.2624865000000005,0.06248645782470685
1002,2019-12-31,7.2,7.292536699999999,0.0925367355346678
1002,2020-01-31,7.8,9.33318,1.5331804275512697
1002,2020-02-29,7.7,7.4567190000000005,0.2432810783386232
1002,2020-03-31,7.6,7.509510000000001,0.09048995971679652
1002,2020-04-30,8.3,7.3266754,0.9733245849609382
1002,2020-05-31,8.8,7.624896000000001,1.175103950500489
1002,2020-06-30,8.9,7.664878999999999,1.2351211547851566
1002,2020-07-31,9.2,7.5511255,1.6488744735717766
1002,2020-08-31,9.2,8.236964,0.9630357742309564
1002,2020-09-30,8.9,7.956188,0.9438117980957036
1002,2020-10-31,8.7,7.5494857,1.1505143165588372
1002,2020-11-30,8.4,7.944063000000001,0.4559368133544925
1002,2020-12-31,8.3,7.8800006,0.4199994087219245
1002,2021-01-31,8.7,7.716541,0.9834591865539544
1002,2021-02-28,8.7,7.9606,0.7394001007080071
1002,2021-03-31,8.6,7.926910400000001,0.6730895996093746
1002,2021-04-30,8.7,7.981682000000001,0.7183181762695305
1002,2021-05-31,8.3,8.485913,0.18591327667236254
1003,2019-01-31,7.8,7.6907144,0.10928564071655256
1003,2019-02-28,7.6,7.806491,0.20649089813232455
1003,2019-03-31,7.5,7.857894,0.3578939437866211
