,ags5,labor_market_region,growing_/_shrinking_circles,labor_market_type,grw_funding_framework,settlement_structure_type_of_labor_market_region,room_type_location,district_settlement_structure,type_of_settlement_structure,urban_/_rural,metropolitan_region,metropolitan_area,east_west,border_proximity
0,01001,4,5,5,1,3,2,4,3,2,99,99,1,1
1,01002,6,4,2,4,1,2,1,2,1,99,99,1,0
2,01003,5,4,5,4,1,1,1,2,1,5,99,1,0
3,01004,6,4,5,6,1,2,3,2,2,5,99,1,0
4,01051,2,4,5,1,3,4,4,3,2,5,99,1,0
5,01053,7,4,4,6,2,2,3,2,2,5,99,1,0
6,01054,1,4,5,1,3,4,4,3,2,99,99,1,1
7,01055,5,5,5,1,1,2,3,2,2,5,99,1,0
8,01056,8,5,4,5,1,1,2,2,1,5,99,1,0
9,01057,6,3,2,6,1,3,3,2,2,99,99,1,0
10,01058,6,4,5,6,1,3,3,2,2,99,99,1,0
11,01059,4,5,5,1,3,3,4,3,2,99,99,1,1
12,01060,8,5,4,8,1,2,3,2,2,5,99,1,0
13,01061,3,4,5,4,3,2,4,3,2,5,99,1,0
14,01062,8,5,4,8,1,1,2,2,1,5,99,1,0
15,02000,8,4,2,8,1,1,1,1,1,5,99,1,0
16,03101,9,3,5,8,1,1,1,2,1,99,3,1,0
17,03102,10,4,5,8,1,2,1,2,1,99,3,1,0
18,03103,11,4,4,8,1,2,1,2,1,99,3,1,0
19,03151,11,5,4,8,1,3,4,2,2,99,3,1,0
20,03153,13,2,5,1,2,3,3,2,2,99,3,1,0
21,03154,14,4,4,1,2,2,3,2,2,99,3,1,0
22,03155,15,2,5,6,3,3,4,2,2,99,3,1,0
23,03157,9,4,5,8,1,2,2,2,1,99,3,1,0
24,03158,9,4,5,8,1,2,3,2,2,99,3,1,0
25,03159,12,4,5,4,1,2,2,2,1,99,3,1,0
26,03241,17,4,2,8,1,1,2,1,1,99,3,1,0
27,03251,18,4,4,8,3,2,3,2,2,99,2,1,0
28,03252,19,2,5,6,2,2,3,2,2,99,3,1,0
29,03254,20,4,5,6,1,2,2,2,1,99,3,1,0
30,03255,21,2,5,1,3,3,4,2,2,99,3,1,0
31,03256,22,3,4,6,3,3,4,1,2,99,3,1,0
32,03257,23,4,5,1,1,2,2,1,1,99,3,1,0
33,03351,24,4,5,6,3,3,4,3,2,99,3,1,0
34,03352,43,3,4,1,2,3,4,2,2,5,2,1,0
35,03353,8,5,4,8,1,2,2,3,1,5,99,1,0
36,03354,29,2,4,1,3,4,4,3,2,5,99,1,0
37,03355,25,4,4,6,3,2,4,3,2,5,99,1,0
38,03356,42,4,3,6,1,2,2,2,1,99,2,1,0
39,03357,26,4,4,8,3,3,4,3,2,5,99,1,0
40,03358,27,4,5,1,3,3,4,3,2,5,3,1,0
