ags2,ags5,date,displayed_short_time_work_companies,displayed_short_time_work_people,employees_social_security_at_residence,employees_social_security_at_residenceemployees_social_security_at_work,realized_short_time_work_companies,realized_short_time_work_people,registerd_jobs,underemployment_without_short_time _work,unemployed,unemployment_benefit_entitled,unemployment_benefit_recipients,unemployment_rate
01,01001,2019-01-01,,,,,,,819.0,6166.0,4275.0,11452.0,1155.0,8.2
01,01001,2019-02-01,,,,,,,864.0,6054.0,4065.0,11506.0,1176.0,7.8
01,01001,2019-03-01,,,44651.0,32144.0,,,837.0,6021.0,4109.0,11435.0,1126.0,7.8
01,01001,2019-04-01,,,,,,,823.0,5932.0,4005.0,11440.0,1030.0,7.6
01,01001,2019-05-01,,,,,,,863.0,6036.0,4048.0,11401.0,1012.0,7.7
01,01001,2019-06-01,,,44607.0,32323.0,,,862.0,5928.0,4033.0,11377.0,1036.0,7.7
01,01001,2019-07-01,,,,,,,838.0,6050.0,4276.0,11387.0,1139.0,8.1
01,01001,2019-08-01,,,,,,,816.0,6098.0,4382.0,11278.0,1155.0,8.3
01,01001,2019-09-01,,,45208.0,33130.0,,,851.0,6061.0,4359.0,11195.0,1146.0,8.3
01,01001,2019-10-01,,,,,,,814.0,5941.0,4228.0,11112.0,1056.0,8.1
01,01001,2019-11-01,,,,,,,706.0,5981.0,4174.0,11078.0,1090.0,8.0
01,01001,2019-12-01,,,,,,,687.0,6028.0,4136.0,10978.0,1150.0,7.9
01,01001,2020-01-01,0.0,0.0,,,3.0,245.0,713.0,6206.0,4421.0,,1217.0,8.4
01,01001,2020-02-01,0.0,0.0,,,0.0,0.0,796.0,6211.0,4393.0,11135.0,1280.0,8.4
01,01001,2020-03-01,185.0,5964.0,44726.0,32729.0,439.0,3573.0,840.0,6141.0,4286.0,11157.0,1294.0,8.2
01,01001,2020-04-01,758.0,9781.0,,,728.0,6366.0,766.0,6467.0,4897.0,11457.0,1466.0,9.3
