ags5,date,ground_truth,pred,error
1001,2020-01-31,8.4,8.374535167889338,0.025464832110662527
1001,2020-02-29,8.4,8.320768733079644,0.07923126692035609
1001,2020-03-31,8.2,8.286026854182749,0.0860268541827498
1001,2020-04-30,9.3,8.100561103688165,1.199438896311836
1001,2020-05-31,9.9,8.806094309109614,1.0939056908903861
1001,2020-06-30,9.8,9.829506940063974,0.02950694006397292
1001,2020-07-31,10.0,9.936812087184116,0.06318791281588432
1001,2020-08-31,9.6,10.066225674167777,0.46622567416777727
1001,2020-09-30,9.1,9.43109639961683,0.3310963996168308
1001,2020-10-31,8.7,9.025729281582631,0.3257292815826318
1001,2020-11-30,8.7,8.641081133221556,0.058918866778443046
1001,2020-12-31,8.8,8.682539937493143,0.11746006250685781
1001,2021-01-31,9.4,9.201560111183658,0.1984398888163419
1001,2021-02-28,9.2,9.332152085397466,0.13215208539746648
1001,2021-03-31,9.1,9.108737600762947,0.00873760076294694
1001,2021-04-30,9.1,9.178515706532028,0.07851570653202877
1001,2021-05-31,8.9,9.061529781936223,0.16152978193622225
1002,2020-01-31,7.8,7.572102352745978,0.2278976472540215
1002,2020-02-29,7.7,7.7219287191716734,0.021928719171673272
1002,2020-03-31,7.6,7.646652634601888,0.04665263460188829
1002,2020-04-30,8.3,7.543057375079381,0.7569426249206197
1002,2020-05-31,8.8,8.035391320630936,0.764608679369065
1002,2020-06-30,8.9,8.896256567852904,0.0037434321470968257
1002,2020-07-31,9.2,9.220122087705885,0.02012208770588586
1002,2020-08-31,9.2,9.390645434801819,0.1906454348018194
1002,2020-09-30,8.9,8.967749844840736,0.06774984484073521
1002,2020-10-31,8.7,8.825885775621956,0.12588577562195624
1002,2020-11-30,8.4,8.591952599717409,0.19195259971740875
1002,2020-12-31,8.3,8.3663489219153,0.06634892191529929
1002,2021-01-31,8.7,8.654715912210639,0.04528408778936033
1002,2021-02-28,8.7,8.593985545274139,0.10601445472586057
1002,2021-03-31,8.6,8.654033344992909,0.05403334499290935
1002,2021-04-30,8.7,8.663963448637057,0.03603655136294215
1002,2021-05-31,8.3,8.682667139517255,0.3826671395172543
1003,2020-01-31,7.4,7.291288716084342,0.10871128391565854
1003,2020-02-29,7.3,7.378739557961756,0.07873955796175647
1003,2020-03-31,7.2,7.2224485590643965,0.022448559064396356
1003,2020-04-30,8.3,7.064258497485286,1.2357415025147152
1003,2020-05-31,8.7,8.168905697294335,0.5310943027056645
1003,2020-06-30,8.6,8.541878256829202,0.05812174317079766
1003,2020-07-31,8.7,8.773982445012518,0.07398244501251838
1003,2020-08-31,8.6,8.684129702151743,0.08412970215174376
1003,2020-09-30,8.3,8.402026296726294,0.10202629672629371
1003,2020-10-31,8.2,8.217196642641737,0.01719664264173737
1003,2020-11-30,8.1,8.155403076470186,0.05540307647018672
1003,2020-12-31,8.2,8.095092374639218,0.1049076253607808
1003,2021-01-31,8.7,8.580739980772725,0.11926001922727458
1003,2021-02-28,8.8,8.658142420933084,0.14185757906691698
1003,2021-03-31,8.9,8.751438229369189,0.14856177063081155
1003,2021-04-30,8.9,9.080658783592355,0.18065878359235477
1003,2021-05-31,8.6,8.778830941855755,0.17883094185575565
1004,2020-01-31,8.2,8.058916888206229,0.14108311179377075
1004,2020-02-29,8.1,8.226770851926938,0.12677085192693838
1004,2020-03-31,7.9,7.901677390919368,0.001677390919367916
1004,2020-04-30,8.8,7.836943559366205,0.963056440633796
1004,2020-05-31,9.2,8.84851891664234,0.35148108335766004
1004,2020-06-30,9.3,9.028286895816684,0.2717131041833163
1004,2020-07-31,9.5,9.420678878742857,0.07932112125714319
1004,2020-08-31,9.4,9.48328445053497,0.08328445053497013
1004,2020-09-30,9.3,9.129535735412896,0.17046426458710506
1004,2020-10-31,9.2,9.26983042059645,0.0698304205964515
1004,2020-11-30,9.1,9.150043088479862,0.05004308847986216
1004,2020-12-31,9.1,9.065047195910685,0.03495280408931478
1004,2021-01-31,9.5,9.581312379504073,0.0813123795040731
1004,2021-02-28,9.8,9.420164727032706,0.3798352729672949
1004,2021-03-31,9.6,9.766293917701953,0.16629391770195312
1004,2021-04-30,9.4,9.64972857135373,0.24972857135372983
1004,2021-05-31,9.1,9.437000478843828,0.33700047884382833
1051,2020-01-31,6.1,6.1621588238004845,0.062158823800484875
1051,2020-02-29,6.0,6.0793705657682,0.07937056576820023
1051,2020-03-31,5.8,5.728007865311358,0.07199213468864141
1051,2020-04-30,6.3,5.355481159075447,0.9445188409245526
1051,2020-05-31,6.6,6.051531474250334,0.5484685257496658
1051,2020-06-30,6.4,6.623197415748922,0.22319741574892138
1051,2020-07-31,6.3,6.4949856568344035,0.19498565683440372
1051,2020-08-31,6.2,6.334906144443087,0.1349061444430868
1051,2020-09-30,5.8,5.990276931062245,0.19027693106224497
1051,2020-10-31,5.7,5.706509434609223,0.0065094346092227084
1051,2020-11-30,5.8,5.852110066284893,0.05211006628489301
