ags5,labor_market_region_number,labor_market_region_name
1001,1,Flensburg
1059,1,Flensburg
1002,2,Kiel
1057,2,Kiel
1058,2,Kiel
1003,3,Lübeck
1055,3,Lübeck
1004,4,Neumünster
1051,5,Dithmarschen
1054,6,Nordfriesland
1060,7,Segeberg
1061,8,Steinburg
1053,9,Herzogtum Lauenburg
1056,10,Hamburg
1062,10,Hamburg
2000,10,Hamburg
3353,10,Hamburg
3355,10,Hamburg
3101,11,Wolfsburg
3102,11,Wolfsburg
3103,11,Wolfsburg
3151,11,Wolfsburg
3154,11,Wolfsburg
3157,11,Wolfsburg
3158,11,Wolfsburg
3153,12,Goslar
3155,13,Göttingen
3159,13,Göttingen
16061,13,Göttingen
3241,14,Hannover
3254,14,Hannover
3257,14,Hannover
3351,14,Hannover
3251,15,Diepholz
3252,16,Hameln-Pyrmont
3255,17,Holzminden
3256,18,Nienburg (Weser)
3354,19,Lüchow-Dannenberg
3357,20,Rotenburg (Wümme)
3358,21,Heidekreis
3359,22,Stade
3360,23,Uelzen
3361,24,Verden
3402,25,Emden
3452,25,Emden
3403,26,Oldenburg (Oldenburg)
3451,26,Oldenburg (Oldenburg)
3458,26,Oldenburg (Oldenburg)
3404,27,Osnabrück
3459,27,Osnabrück
3405,28,Wilhelmshaven
3455,28,Wilhelmshaven
3453,29,Cloppenburg
3454,30,Emsland
3456,30,Emsland
3457,31,Leer
3460,32,Vechta
3461,33,Wesermarsch
3462,34,Wittmund
3356,35,Bremen
3401,35,Bremen
4011,35,Bremen
3352,36,Bremerhaven
4012,36,Bremerhaven
5111,37,Düsseldorf
5114,37,Düsseldorf
5158,37,Düsseldorf
5162,37,Düsseldorf
5112,38,Duisburg
5119,38,Duisburg
5170,38,Duisburg
5113,39,Essen
5117,39,Essen
5512,39,Essen
5513,39,Essen
5116,40,Mönchengladbach
5166,40,Mönchengladbach
5120,41,Wuppertal
5124,41,Wuppertal
5122,42,Solingen
5154,43,Kleve
5314,44,Köln
5315,44,Köln
5316,44,Köln
5362,44,Köln
5366,44,Köln
5378,44,Köln
5382,44,Köln
5334,45,Aachen 
5358,45,Aachen 
5370,45,Aachen 
5374,46,Oberbergischer Kreis
5515,47,"Münster, Kreisfreie Stadt"
5558,47,"Münster, Kreisfreie Stadt"
5566,47,"Münster, Kreisfreie Stadt"
5570,47,"Münster, Kreisfreie Stadt"
5554,48,Borken
5562,49,Recklinghausen
5711,50,Bielefeld
5758,50,Bielefeld
5754,51,Gütersloh
5766,52,Lippe
5770,53,Minden-Lübbecke
5762,54,Paderborn
5774,54,Paderborn
5911,55,Bochum
5916,55,Bochum
5913,56,Dortmund
5915,56,Dortmund
5978,56,Dortmund
5914,57,Hagen
5954,57,Hagen
5958,58,Hochsauerlandkreis
5962,59,Märkischer Kreis
5966,60,Olpe
5970,61,Siegen-Wittgenstein
5974,62,Soest
6411,63,Frankfurt am Main
6412,63,Frankfurt am Main
6413,63,Frankfurt am Main
6432,63,Frankfurt am Main
6433,63,Frankfurt am Main
6434,63,Frankfurt am Main
6435,63,Frankfurt am Main
6436,63,Frankfurt am Main
6438,63,Frankfurt am Main
6440,63,Frankfurt am Main
6414,64,Wiesbaden
6439,64,Wiesbaden
7315,64,Wiesbaden
7339,64,Wiesbaden
6437,65,Odenwaldkreis
6531,66,Gießen
6532,66,Gießen
6533,67,Limburg-Weilburg
6534,68,Marburg-Biedenkopf
6535,69,Vogelsbergkreis
6611,70,Kassel
6633,70,Kassel
6634,70,Kassel
6631,71,Fulda
6632,72,Hersfeld-Rotenburg
6635,73,Waldeck-Frankenberg
6636,74,Werra-Meißner-Kreis
7111,75,Koblenz
7137,75,Koblenz
7141,75,Koblenz
7131,76,Ahrweiler
7132,77,Altenkirchen (Westerwald)
7133,78,Bad Kreuznach
7134,79,Birkenfeld
7135,80,Cochem-Zell
