,ags5,time_stamp,value
0,01001,2008.0,3105.912
1,01001,2009.0,2993.96
2,01001,2010.0,3013.761
3,01001,2011.0,3047.7
4,01001,2012.0,3124.752
5,01001,2013.0,3155.806
6,01001,2014.0,3183.046
7,01001,2015.0,3377.095
8,01001,2016.0,3451.423
9,01001,2017.0,3685.876
10,01001,2018.0,3770.903
11,01002,2008.0,9156.766
12,01002,2009.0,9227.161
13,01002,2010.0,9135.198
14,01002,2011.0,9547.658
15,01002,2012.0,9655.287
16,01002,2013.0,10120.118
17,01002,2014.0,10441.004
18,01002,2015.0,10536.504
19,01002,2016.0,10908.86
20,01002,2017.0,11294.69
21,01002,2018.0,11802.323
22,01003,2008.0,7139.385
23,01003,2009.0,6927.25
24,01003,2010.0,7324.783
25,01003,2011.0,7551.309
26,01003,2012.0,7828.706
27,01003,2013.0,8035.897
28,01003,2014.0,7841.978
29,01003,2015.0,8253.953
30,01003,2016.0,8074.863
31,01003,2017.0,9066.215
32,01003,2018.0,9487.387
33,01004,2008.0,2404.307
34,01004,2009.0,2370.581
35,01004,2010.0,2446.091
36,01004,2011.0,2616.771
37,01004,2012.0,2643.338
38,01004,2013.0,2771.824
39,01004,2014.0,2941.57
40,01004,2015.0,3047.626
41,01004,2016.0,3152.28
42,01004,2017.0,3325.447
43,01004,2018.0,3435.287
44,01051,2008.0,3255.981
45,01051,2009.0,3023.091
46,01051,2010.0,3233.856
47,01051,2011.0,3392.035
48,01051,2012.0,3542.582
49,01051,2013.0,3605.5
50,01051,2014.0,3714.706
51,01051,2015.0,3938.11
52,01051,2016.0,4063.908
53,01051,2017.0,4410.772
54,01051,2018.0,4575.816
55,01053,2008.0,3443.266
56,01053,2009.0,3395.933
57,01053,2010.0,3459.41
58,01053,2011.0,3653.661
59,01053,2012.0,3767.5
60,01053,2013.0,3918.004
61,01053,2014.0,3986.214
62,01053,2015.0,4060.834
63,01053,2016.0,4215.681
64,01053,2017.0,4457.976
65,01053,2018.0,4610.918
66,01054,2008.0,4423.369
67,01054,2009.0,4436.276
68,01054,2010.0,4596.056
69,01054,2011.0,4636.514
70,01054,2012.0,4950.278
71,01054,2013.0,4889.25
72,01054,2014.0,5196.72
73,01054,2015.0,5369.641
74,01054,2016.0,5496.933
75,01054,2017.0,5668.854
76,01054,2018.0,5641.939
77,01055,2008.0,3916.563
78,01055,2009.0,3871.191
79,01055,2010.0,3952.491
80,01055,2011.0,4120.441
81,01055,2012.0,4355.619
82,01055,2013.0,4512.507
83,01055,2014.0,4693.747
84,01055,2015.0,4867.164
85,01055,2016.0,4972.703
86,01055,2017.0,5235.471
87,01055,2018.0,5399.559
88,01056,2008.0,7458.622
89,01056,2009.0,7268.188
90,01056,2010.0,7500.221
91,01056,2011.0,7792.564
92,01056,2012.0,7938.124
93,01056,2013.0,8048.823
94,01056,2014.0,8323.108
95,01056,2015.0,8381.271
96,01056,2016.0,8823.517
97,01056,2017.0,8950.133
98,01056,2018.0,9344.089
99,01057,2008.0,2124.57
100,01057,2009.0,2114.235
101,01057,2010.0,2157.096
102,01057,2011.0,2357.26
103,01057,2012.0,2251.23
104,01057,2013.0,2342.674
105,01057,2014.0,2375.412
106,01057,2015.0,2309.67
107,01057,2016.0,2389.694
108,01057,2017.0,2522.851
109,01057,2018.0,2581.579
110,01058,2008.0,6146.966
111,01058,2009.0,5793.632
112,01058,2010.0,5902.51
113,01058,2011.0,6380.123
114,01058,2012.0,7064.882
115,01058,2013.0,6830.491
116,01058,2014.0,6989.676
117,01058,2015.0,7074.23
118,01058,2016.0,7256.633
119,01058,2017.0,7779.127
120,01058,2018.0,7923.776
121,01059,2008.0,3855.966
122,01059,2009.0,3870.798
123,01059,2010.0,3917.908
124,01059,2011.0,4078.232
125,01059,2012.0,4222.803
126,01059,2013.0,4347.726
127,01059,2014.0,4630.503
128,01059,2015.0,4653.185
129,01059,2016.0,4764.287
130,01059,2017.0,5061.487
131,01059,2018.0,5232.514
132,01060,2008.0,6667.616
133,01060,2009.0,6405.85
134,01060,2010.0,6331.608
135,01060,2011.0,6623.741
136,01060,2012.0,6860.715
137,01060,2013.0,6940.61
138,01060,2014.0,7394.711
139,01060,2015.0,7700.742
140,01060,2016.0,8067.015
141,01060,2017.0,8329.637
142,01060,2018.0,8594.371
143,01061,2008.0,3704.882
144,01061,2009.0,3373.974
145,01061,2010.0,3596.224
146,01061,2011.0,3523.395
147,01061,2012.0,3631.297
148,01061,2013.0,3695.031
149,01061,2014.0,3917.176
150,01061,2015.0,3904.725
151,01061,2016.0,4031.383
152,01061,2017.0,3941.388
153,01061,2018.0,4072.454
154,01062,2008.0,6493.363
